Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Beats
Hoshoryu,12,3,18,103,96.80829015544042,0,193,1.0,Y1e,Wakatakakage;Wakamotoharu;Gonoyama;Tamawashi;Hiradoumi;Takerufuji;Ichiyamamoto;Ura;Hakuoho;Daieisho;Kotozakura;Onosato
Onosato,14,1,26,111,104.48704663212435,1,192,0.9948186528497409,O1e,Wakamotoharu;Takayasu;Abi;Oho;Tamawashi;Gonoyama;Takerufuji;Hiradoumi;Ura;Ichiyamamoto;Wakatakakage;Hakuoho;Kotozakura;Daieisho
Kotozakura,8,7,2,62,57.87564766839378,2,191,0.9896373056994818,O1w,Abi;Wakamotoharu;Hiradoumi;Takerufuji;Tamawashi;Takayasu;Aonishiki;Ichiyamamoto
Daieisho,10,5,10,85,79.45077720207254,3,190,0.9844559585492227,S1e,Abi;Gonoyama;Wakamotoharu;Takayasu;Oho;Kirishima;Hakuoho;Takerufuji;Aonishiki;Kotozakura
Kirishima,11,4,14,90,84.440414507772,4,189,0.9792746113989638,S1w,Gonoyama;Tamawashi;Hiradoumi;Wakamotoharu;Abi;Takerufuji;Kotozakura;Ichiyamamoto;Hoshoryu;Oshoma;Hakuoho
Takayasu,6,9,-6,43,40.38860103626942,5,188,0.9740932642487047,K1e,Gonoyama;Oho;Takerufuji;Ichiyamamoto;Chiyoshoma;Kirishima
Wakatakakage,12,3,18,110,101.29533678756476,6,187,0.9689119170984456,K1w,Tamawashi;Kotozakura;Takerufuji;Kirishima;Takayasu;Daieisho;Oho;Aonishiki;Oshoma;Asakoryu;Hiradoumi;Tobizaru
Wakamotoharu,7,8,-2,46,43.36787564766839,7,186,0.9637305699481865,,Takayasu;Tamawashi;Gonoyama;Oho;Hiradoumi;Ura;Ichiyamamoto
Oho,7,8,-2,59,55.564766839378244,8,185,0.9585492227979274,,Kotozakura;Kirishima;Hoshoryu;Tamawashi;Ura;Takerufuji;Chiyoshoma
Abi,7,8,-2,61,57.7461139896373,9,184,0.9533678756476683,,Hoshoryu;Takerufuji;Oho;Takayasu;Wakatakakage;Wakamotoharu;Gonoyama
