Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Hoshoryu,12,3,18,103,120.42299999999999,0,193,3.79,Y1e,Y1e,Wakatakakage;Wakamotoharu;Gonoyama;Tamawashi;Hiradoumi;Takerufuji;Ichiyamamoto;Ura;Hakuoho;Daieisho;Kotozakura;Onosato
Onosato,14,1,26,111,133.90709999999999,1,192,2.2896,O1e,O1e,Wakamotoharu;Takayasu;Abi;Oho;Tamawashi;Gonoyama;Takerufuji;Hiradoumi;Ura;Ichiyamamoto;Wakatakakage;Hakuoho;Kotozakura;Daieisho
Kotozakura,8,7,2,62,70.00129999999999,2,191,2.2896,O1w,O1w,Abi;Wakamotoharu;Hiradoumi;Takerufuji;Tamawashi;Takayasu;Aonishiki;Ichiyamamoto
Daieisho,10,5,10,85,103.9899,3,190,1.5961,S1e,S1e,Abi;Gonoyama;Wakamotoharu;Takayasu;Oho;Kirishima;Hakuoho;Takerufuji;Aonishiki;Kotozakura
Kirishima,11,4,14,90,106.98700000000001,4,189,1.5961,S1w,S1w,Gonoyama;Tamawashi;Hiradoumi;Wakamotoharu;Abi;Takerufuji;Kotozakura;Ichiyamamoto;Hoshoryu;Oshoma;Hakuoho
Takayasu,6,9,-6,43,54.790000000000006,5,188,1.2755,K1e,K1e,Gonoyama;Oho;Takerufuji;Ichiyamamoto;Chiyoshoma;Kirishima
Wakatakakage,12,3,18,110,128.64870000000002,6,187,1.2755,K1w,K1w,Tamawashi;Kotozakura;Takerufuji;Kirishima;Takayasu;Daieisho;Oho;Aonishiki;Oshoma;Asakoryu;Hiradoumi;Tobizaru
Wakamotoharu,7,8,-2,46,56.006299999999996,7,186,1.1274,,M1e,Takayasu;Tamawashi;Gonoyama;Oho;Hiradoumi;Ura;Ichiyamamoto
Oho,7,8,-2,59,74.0543,8,185,1.1274,,M1w,Kotozakura;Kirishima;Hoshoryu;Tamawashi;Ura;Takerufuji;Chiyoshoma
Abi,7,8,-2,61,79.1295,9,184,1.0589,,M2e,Hoshoryu;Takerufuji;Oho;Takayasu;Wakatakakage;Wakamotoharu;Gonoyama
Gonoyama,4,11,-14,32,39.8736,10,183,1.0589,,M2w,Kotozakura;Hiradoumi;Oho;Tobizaru
Tamawashi,6,9,-6,43,53.63499999999999,11,182,1.0272,,M3e,Takayasu;Gonoyama;Daieisho;Abi;Chiyoshoma;Hiradoumi
Hiradoumi,6,9,-6,46,59.2176,12,181,1.0272,,M3w,Ichiyamamoto;Ura;Daieisho;Takayasu;Oho;Abi
Takerufuji,6,9,-6,39,43.7249,13,180,1.0126,,M4e,Hiradoumi;Ura;Ichiyamamoto;Tamawashi;Wakamotoharu;Gonoyama
Ichiyamamoto,5,10,-10,32,34.0946,14,179,1.0126,,M4w,Ura;Chiyoshoma;Oshoma;Churanoumi;Gonoyama
Ura,5,10,-10,36,38.2899,15,178,1.0058,,M5e,Chiyoshoma;Tobizaru;Takayasu;Tamawashi;Takanosho
Chiyoshoma,4,11,-14,28,29.519099999999998,16,177,1.0058,,M5w,Churanoumi;Onokatsu;Shodai;Gonoyama
Oshoma,10,5,10,78,82.8075,17,176,1.0027,,M6e,Chiyoshoma;Ura;Onokatsu;Churanoumi;Midorifuji;Kinbozan;Shodai;Meisei;Wakamotoharu;Abi
Tobizaru,7,8,-2,47,51.092699999999994,18,175,1.0027,,M6w,Chiyoshoma;Oshoma;Churanoumi;Ichiyamamoto;Midorifuji;Shishi;Abi
Hakuoho,8,7,2,59,59.771699999999996,19,174,1.0012,,M7e,Tobizaru;Oshoma;Chiyoshoma;Onokatsu;Churanoumi;Ura;Ichiyamamoto;Shodai
Churanoumi,4,11,-14,30,30.007099999999998,20,173,1.0012,,M7w,Midorifuji;Endo;Shodai;Ryuden
Onokatsu,10,5,10,84,84.4229,21,172,1.0006,,M8e,Churanoumi;Kinbozan;Tobizaru;Ura;Endo;Kayo;Nishikigi;Roga;Tokihayate;Meisei
Kinbozan,10,5,10,80,80.1727,22,171,1.0006,,M8w,Aonishiki;Midorifuji;Shodai;Endo;Shishi;Chiyoshoma;Atamifuji;Tobizaru;Takanosho;Kayo
Aonishiki,11,4,14,92,92.21069999999999,23,170,1.0003,,M9e,Churanoumi;Onokatsu;Meisei;Midorifuji;Shodai;Endo;Tobizaru;Chiyoshoma;Hakuoho;Atamifuji;Sadanoumi
Midorifuji,6,9,-6,34,34.068,24,169,1.0003,,M9w,Chiyoshoma;Shonannoumi;Tochitaikai;Nishikigi;Ryuden;Tamashoho
Meisei,9,6,6,70,70.1375,25,168,1.0001,,M10e,Midorifuji;Kinbozan;Shishi;Shodai;Hakuoho;Churanoumi;Tobizaru;Roga;Kayo
Shodai,6,9,-6,37,37.009499999999996,26,167,1.0001,,M10w,Midorifuji;Shishi;Takanosho;Tamashoho;Tochitaikai;Shonannoumi
Endo,9,6,6,64,64.0107,27,166,1.0001,,M11e,Shodai;Meisei;Atamifuji;Shishi;Ryuden;Tamashoho;Shonannoumi;Tochitaikai;Asakoryu
Shishi,4,11,-14,24,24.0078,28,165,1.0001,,M11w,Midorifuji;Nishikigi;Churanoumi;Tamashoho
Atamifuji,8,7,2,61,61.011799999999994,29,164,1,,M12e,Shishi;Tokihayate;Shodai;Meisei;Kotoshoho;Roga;Ryuden;Nishikigi
Takanosho,8,7,2,61,61.01079999999999,30,163,1,,M12w,Shishi;Sadanoumi;Endo;Midorifuji;Shonannoumi;Asakoryu;Tochitaikai;Ryuden
Tokihayate,8,7,2,65,65.03929999999998,31,162,1,,M13e,Takanosho;Roga;Asakoryu;Shishi;Shonannoumi;Churanoumi;Endo;Hakuoho
Sadanoumi,10,5,10,75,75.0207,32,161,1,,M13w,Ryuden;Tokihayate;Atamifuji;Shonannoumi;Nishikigi;Tochitaikai;Tamashoho;Meisei;Kinbozan;Kotoshoho
Kotoshoho,6,9,-6,37,37.0023,33,160,1,,M14e,Takanosho;Shishi;Nishikigi;Tochitaikai;Ryuden;Tamashoho
Roga,9,6,6,67,67.01270000000001,34,159,1,,M14w,Sadanoumi;Shonannoumi;Takanosho;Tamashoho;Ryuden;Tochitaikai;Kinbozan;Nishikigi;Kotoshoho
Ryuden,5,10,-10,32,32.0043,35,158,1,,M15e,Kayo;Tamashoho;Tokihayate;Tochitaikai;Shishi
Shonannoumi,5,10,-10,34,34.0021,36,157,1,,M15w,Kayo;Tamashoho;Atamifuji;Kotoshoho;Churanoumi
Kayo,7,8,-2,59,59.00479999999999,37,156,1,,M16e,Takarafuji;Roga;Tochitaikai;Tokihayate;Sadanoumi;Takanosho;Atamifuji
Nishikigi,6,9,-6,39,39.004,38,155,1,,M16w,Shonannoumi;Kayo;Ryuden;Fujiseiun;Tochitaikai;Tokihayate
Tamashoho,4,11,-14,34,34.0026,39,154,1,,M17e,Hidenoumi;Tokihayate;Nishikigi;Kayo
Asakoryu,10,5,10,78,78.01410000000001,40,153,1,,M17w,Tamashoho;Tochitaikai;Kayo;Shonannoumi;Nishikigi;Sadanoumi;Ryuden;Roga;Atamifuji;Onokatsu
Tochitaikai,4,11,-14,25,25.0028,41,152,1,,M18e,Mitakeumi;Tamashoho;Shonannoumi;Shishi
Mitakeumi,8,7,2,63,63,42,151,1,,N/A,Hidenoumi;Takarafuji;Shirokuma;Kagayaki;Nishikifuji;Hitoshi;Daiseizan;Tomokaze
Kusano,13,2,22,116,116.00059999999999,43,150,1,,N/A,Asakoryu;Mitakeumi;Shirokuma;Hakuyozan;Fujiseiun;Kagayaki;Wakaikari;Hitoshi;Daiseizan;Kotoeiho;Oshoumi;Tohakuryu;Tsurugisho
Hidenoumi,9,6,6,74,74,44,149,1,,N/A,Kusano;Hakuyozan;Shirokuma;Takarafuji;Fujiseiun;Nishikifuji;Tomokaze;Daiseizan;Tohakuryu
Fujiseiun,4,11,-14,31,31,45,148,1,,N/A,Shirokuma;Mitakeumi;Kagayaki;Hitoshi
Takarafuji,5,10,-10,38,38,46,147,1,,N/A,Fujiseiun;Hakuyozan;Tomokaze;Daiseizan;Shiden
Shirokuma,6,9,-6,41,41,47,146,1,,N/A,Hakuyozan;Takarafuji;Nishikifuji;Hitoshi;Shimanoumi;Tsurugisho
Hakuyozan,6,9,-6,40,40,48,145,1,,N/A,Fujiseiun;Nishikifuji;Mitakeumi;Shimanoumi;Shiden;Hatsuyama
Kagayaki,6,9,-6,49,49,49,144,1,,N/A,Hitoshi;Kotoeiho;Hidenoumi;Takarafuji;Shirokuma;Shimanoumi
Nishikifuji,5,10,-10,39,39,50,143,1,,N/A,Kagayaki;Wakaikari;Fujiseiun;Daiamami;Mudoho
Wakaikari,12,3,18,101,101,51,142,1,,N/A,Hitoshi;Kagayaki;Kotoeiho;Daiseizan;Takarafuji;Fujiseiun;Mitakeumi;Hidenoumi;Oshoumi;Tohakuryu;Miyanokaze;Daiamami
Hitoshi,7,8,-2,50,50,52,141,1,,N/A,Nishikifuji;Shimanoumi;Shiden;Hidenoumi;Takarafuji;Mudoho;Mitoryu
Daiseizan,7,8,-2,52,52,53,140,1,,N/A,Tomokaze;Kagayaki;Nishikifuji;Hitoshi;Shirokuma;Fujiseiun;Tsurugisho
Tomokaze,10,5,10,83,83,54,139,1,,N/A,Shimanoumi;Wakaikari;Kagayaki;Hitoshi;Shiden;Shirokuma;Hakuyozan;Kusano;Mita;Fujiseiun
Kotoeiho,11,4,14,86,86,55,138,1,,N/A,Shimanoumi;Daiseizan;Tomokaze;Nishikifuji;Hakuyozan;Nabatame;Takarafuji;Miyanokaze;Mitakeumi;Hidenoumi;Shirokuma
Shimanoumi,5,10,-10,37,37,56,137,1,,N/A,Daiseizan;Tsurugisho;Tohakuryu;Takarafuji;Fujiseiun
Shiden,6,9,-6,47,47,57,136,1,,N/A,Tohakuryu;Hatsuyama;Kazekeno;Nabatame;Mudoho;Fujiseiun
Oshoumi,10,5,10,81,81,58,135,1,,N/A,Shiden;Kazekeno;Shimanoumi;Hatsuyama;Kotoeiho;Mita;Nabatame;Mudoho;Nishikifuji;Mitakeumi
Tsurugisho,7,8,-2,57,57,59,134,1,,N/A,Shiden;Oshoumi;Hatsuyama;Mitoryu;Kazekeno;Hakuyozan;Mudoho
Tohakuryu,9,6,6,76,76,60,133,1,,N/A,Tsurugisho;Oshoumi;Mitoryu;Nabatame;Daiamami;Mita;Mudoho;Kazekeno;Nishikifuji
Hatsuyama,6,9,-6,37,37,61,132,1,,N/A,Kazekeno;Wakanosho;Miyanokaze;Nishikifuji;Shirokuma;Ishizaki
Kazekeno,9,6,6,60,60,62,131,1,,N/A,Mitoryu;Wakanosho;Miyanokaze;Mudoho;Daiamami;Kotokuzan;Nabatame;Takarafuji;Hakuyozan
Wakanosho,1,14,-26,9,9,63,130,1,,N/A,Mitoryu
Mitoryu,8,7,2,57,57,64,129,1,,N/A,Hatsuyama;Mita;Shimanoumi;Ishizaki;Nabatame;Miyanokaze;Kagayaki;Hakuyozan
Nabatame,8,7,2,57,57,65,128,1,,N/A,Miyanokaze;Daiamami;Mudoho;Tsurugisho;Shimanoumi;Hatsuyama;Kagayaki;Daiseizan
Miyanokaze,6,9,-6,41,41,66,127,1,,N/A,Daiamami;Dewanoryu;Tsurugisho;Tohakuryu;Shiden;Kitanowaka
Daiamami,7,8,-2,47,47,67,126,1,,N/A,Oshoryu;Hatsuyama;Oshoumi;Mitoryu;Shiden;Dewanoryu;Shimanoumi
Mita,8,7,2,56,56,68,125,1,,N/A,Daiamami;Akua;Miyanokaze;Mudoho;Tsurugisho;Hatsuyama;Shiden;Kazekeno
Mudoho,5,10,-10,35,35,69,124,1,,N/A,Kitanowaka;Miyanokaze;Daiamami;Mitoryu;Hatsuyama
Kitanowaka,3,12,-18,15,15,70,123,1,,N/A,Dewanoryu;Daishoho;Mita
Akua,2,13,-22,7,7,71,122,1,,N/A,Oshoryu;Kitanowaka
Oshoryu,2,13,-22,5,5,72,121,1,,N/A,Tendozan;Daishoho
Dewanoryu,3,12,-18,10,10,73,120,1,,N/A,Oshoryu;Tochimusashi;Akua
Otsuji,7,8,-2,43,43,74,119,1,,N/A,Dewanoryu;Kotokuzan;Kyokukaiyu;Nabatame;Nishinoryu;Gojinyu;Fukuzaki
Hokutofuji,0,15,-30,0,0,75,118,1,,N/A,
Ishizaki,4,11,-14,14,14,76,117,1,,N/A,Tochimusashi;Daishoho;Akua;Satorufuji
Kotokuzan,5,10,-10,27,27,77,116,1,,N/A,Ishizaki;Satorufuji;Kyokukaiyu;Hamayutaka;Miyanokaze
Kyokukaiyu,5,10,-10,24,24,78,115,1,,N/A,Tochimusashi;Satorufuji;Kitanowaka;Mudoho;Nishinoryu
Tochimusashi,3,12,-18,9,9,79,114,1,,N/A,Oshoryu;Kaiseijo;Akua
Daishoho,1,14,-26,1,1,80,113,1,,N/A,Tochimaru
Kiryuko,0,15,-30,0,0,81,112,1,,N/A,
Satorufuji,4,11,-14,14,14,82,111,1,,N/A,Daishoho;Inami;Akua;Hamayutaka
Tochimaru,0,15,-30,0,0,83,110,1,,N/A,
Nishinoryu,4,11,-14,17,17,84,109,1,,N/A,Tochimaru;Asahakuryu;Enho;Takakento
Asahakuryu,5,10,-10,24,24,85,108,1,,N/A,Inami;Chiyomaru;Enho;Takakento;Toseiryu
Inami,4,11,-14,14,14,86,107,1,,N/A,Hamayutaka;Daishoho;Enho;Nobehara
Hamayutaka,3,12,-18,13,13,87,106,1,,N/A,Tochimusashi;Chiyomaru;Hananoumi
Hokutomaru,0,15,-30,0,0,88,105,1,,N/A,
Enho,3,12,-18,11,11,89,104,1,,N/A,Hamayutaka;Chiyomaru;Oshoryu
Chiyomaru,3,12,-18,11,11,90,103,1,,N/A,Hananoumi;Kaiseijo;Obara
Hananoumi,4,11,-14,16,16,91,102,1,,N/A,Tendozan;Inami;Chiyotora;Kitaharima
Takakento,5,10,-10,21,21,92,101,1,,N/A,Tendozan;Narutaki;Toseiryu;Nobehara;Matsui
Tendozan,2,13,-22,4,4,93,100,1,,N/A,Kawazoe;Daishoho
Nobehara,3,12,-18,10,10,94,99,1,,N/A,Tendozan;Kaiseijo;Enho
Narutaki,3,12,-18,13,13,95,98,1,,N/A,Nobehara;Chiyotora;Hananoumi
Chiyotora,3,12,-18,10,10,96,97,1,,N/A,Nobehara;Obara;Yuma
Asanoyama,6,9,-6,26,26,97,96,1,,N/A,Chiyotora;Kaiseijo;Kitaharima;Narutaki;Nishinoryu;Gojinyu
Toseiryu,4,11,-14,18,18,98,95,1,,N/A,Kaiseijo;Asanoyama;Chiyotora;Narutaki
Kaiseijo,2,13,-22,4,4,99,94,1,,N/A,Kawazoe;Asakoki
Kawazoe,1,14,-26,1,1,100,93,1,,N/A,Tsurubayashi
Gojinyu,5,10,-10,25,25,101,92,1,,N/A,Kawazoe;Okaryu;Matsui;Kazenoumi;Goshima
Kitaharima,3,12,-18,9,9,102,91,1,,N/A,Asakoki;Obara;Chiyomaru
Okaryu,4,11,-14,18,18,103,90,1,,N/A,Kitaharima;Fujinoyama;Toseiryu;Narutaki
Obara,2,13,-22,5,5,104,89,1,,N/A,Asakoki;Hinataryu
Asakoki,1,14,-26,2,2,105,88,1,,N/A,Kawazoe
Fujinoyama,4,11,-14,15,15,106,87,1,,N/A,Nagamura;Asakoki;Kitaharima;Kaisho
Matsui,4,11,-14,17,17,107,86,1,,N/A,Fujinoyama;Obara;Kaisho;Okaryu
Nagamura,4,11,-14,13,13,108,85,1,,N/A,Yuma;Obara;Awanokuni;Asonoyama
Kamito,5,10,-10,24,24,109,84,1,,N/A,Nagamura;Kaisho;Matsui;Fujinoyama;Tenshoho
Kazuto,5,10,-10,21,21,110,83,1,,N/A,Yuma;Awanokuni;Asonoyama;Tenshoho;Asahakuryu
Yuma,2,13,-22,5,5,111,82,1,,N/A,Tendozan;Asakoki
Kaisho,3,12,-18,12,12,112,81,1,,N/A,Yuma;Nagamura;Tsushimanada
Kazenoumi,5,10,-10,27,27,113,80,1,,N/A,Kaisho;Kamito;Anosho;Okaryu;Fukai
Anosho,6,9,-6,31,31,114,79,1,,N/A,Hinataryu;Kazuto;Tanji;Kamito;Seihakuho;Kitadaichi
Hinataryu,2,13,-22,5,5,115,78,1,,N/A,Oyamatoumi;Kotodaishin
Tenshoho,4,11,-14,17,17,116,77,1,,N/A,Awanokuni;Fukai;Tanji;Haruyama
Awanokuni,2,13,-22,6,6,117,76,1,,N/A,Hinataryu;Aratakayama
Oyamatoumi,2,13,-22,3,3,118,75,1,,N/A,Tsurubayashi;Shunrai
Fukai,4,11,-14,15,15,119,74,1,,N/A,Oyamatoumi;Hinataryu;Tsushimanada;Mikazuchiyama
Asonoyama,3,12,-18,12,12,120,73,1,,N/A,Asashiyu;Fukai;Yuma
Tsushimanada,3,12,-18,9,9,121,72,1,,N/A,Oyamatoumi;Awanokuni;Aratakayama
Asashiyu,3,12,-18,9,9,122,71,1,,N/A,Aratakayama;Hinataryu;Awanokuni
Tanji,4,11,-14,16,16,123,70,1,,N/A,Tsushimanada;Asonoyama;Asashiyu;Haruyama
Goshima,6,9,-6,31,31,124,69,1,,N/A,Seihakuho;Haruyama;Toshunryu;Tenshoho;Kazenoumi;Kazuto
Seihakuho,4,11,-14,19,19,125,68,1,,N/A,Asashiyu;Tsushimanada;Mikazuchiyama;Daikosho
Haruyama,3,12,-18,11,11,126,67,1,,N/A,Aratakayama;Asashiyu;Asonoyama
Aratakayama,2,13,-22,5,5,127,66,1,,N/A,Oyamatoumi;Asakoki
Mikazuchiyama,4,11,-14,16,16,128,65,1,,N/A,Aratakayama;Haruyama;Tanji;Tosamidori
Toshunryu,4,11,-14,17,17,129,64,1,,N/A,Mikazuchiyama;Daiyusho;Tosamidori;Hokutenkai
Tosamidori,3,12,-18,10,10,130,63,1,,N/A,Daishoryu;Mishima;Sengaku
Daiyusho,3,12,-18,10,10,131,62,1,,N/A,Tosamidori;Mishima;Daishoryu
Daishoryu,2,13,-22,4,4,132,61,1,,N/A,Kotodaishin;Shunrai
Kotodaigo,0,15,-30,0,0,133,60,1,,N/A,
Daikosho,5,10,-10,25,25,134,59,1,,N/A,Daishoryu;Yoshii;Fujitoshi;Toshunryu;Chiyooga
Yoshii,5,10,-10,21,21,135,58,1,,N/A,Mishima;Tosamidori;Toshunryu;Hokutenkai;Seihakuho
Mishima,2,13,-22,7,7,136,57,1,,N/A,Higonoumi;Daishoryu
Higonoumi,3,12,-18,8,8,137,56,1,,N/A,Daishoryu;Kotodaishin;Bushozan
Hokutenkai,3,12,-18,12,12,138,55,1,,N/A,Higonoumi;Sengaku;Daiyusho
Sengaku,3,12,-18,7,7,139,54,1,,N/A,Kotodaishin;Shunrai;Mishima
Daishomaru,4,11,-14,20,20,140,53,1,,N/A,Sengaku;Hokutenkai;Fujitoshi;Yoshii
Kitadaichi,5,10,-10,21,21,141,52,1,,N/A,Sengaku;Hokutenkai;Daiyusho;Hayatefuji;Daishomaru
Fujitoshi,5,10,-10,24,24,142,51,1,,N/A,Kitadaichi;Oyamada;Shohoryu;Hayatefuji;Shimazuumi
Hayatefuji,3,12,-18,13,13,143,50,1,,N/A,Kotodaishin;Shohoryu;Kurohimeyama
Oyamada,3,12,-18,10,10,144,49,1,,N/A,Hayatefuji;Shunrai;Daiyusho
Shohoryu,4,11,-14,13,13,145,48,1,,N/A,Kotodaishin;Higonoumi;Mishima;Oyamada
Kotodaishin,1,14,-26,3,3,146,47,1,,N/A,Oyamatoumi
Fukuzaki,6,9,-6,30,29,147,46,1,,N/A,Shunrai;Shohoryu;Daishomaru;Daikosho;Chiyooga;Gyotoku
Shunrai,1,14,-26,5,5,148,45,1,,N/A,Noda
Noda,4,11,-14,13,13,149,44,1,,N/A,Tsurubayashi;Higonoumi;Goseizan;Hayatefuji
Chiyooga,4,11,-14,21,21,150,43,1,,N/A,Noda;Kurohimeyama;Shiroma;Ikarigata
Kurohimeyama,5,10,-10,25,25,151,42,1,,N/A,Osanai;Shimazuumi;Oyamada;Tokitenran;Daishomaru
Osanai,5,10,-10,23,23,152,41,1,,N/A,Tokitenran;Daishinkai;Oyamada;Shiroma;Chiyooga
Tokitenran,4,11,-14,15,15,153,40,1,,N/A,Noda;Shunrai;Goseizan;Ikarigata
Suzaki,0,15,-30,0,0,154,39,1,,N/A,
Shimazuumi,4,11,-14,17,17,155,38,1,,N/A,Tokitenran;Daishinkai;Tochikodai;Ikarigata
Daishinkai,2,13,-22,5,5,156,37,1,,N/A,Bushozan;Yutakasho
Shiroma,5,10,-10,22,22,157,36,1,,N/A,Daishinkai;Shimazuumi;Tochikodai;Yoshiyasu;Ryusei
Ikarigata,3,12,-18,12,12,158,35,1,,N/A,Bushozan;Goseizan;Tochikodai
Bushozan,2,13,-22,6,6,159,34,1,,N/A,Yutakasho;Asagyokusei
Goseizan,3,12,-18,10,10,160,33,1,,N/A,Shuji;Asagyokusei;Hoshuzan
Shuji,2,13,-22,6,6,161,32,1,,N/A,Bushozan;Daishinkai
Tochikodai,4,11,-14,12,12,162,31,1,,N/A,Tsurubayashi;Yoshiyasu;Bushozan;Ienoshima
Tsurubayashi,0,15,-30,0,0,163,30,1,,N/A,
Yoshiyasu,3,12,-18,15,15,164,29,1,,N/A,Kotokenryu;Goseizan;Ienoshima
Kotokenryu,6,9,-6,26,26,165,28,1,,N/A,Shuji;Asagyokusei;Ienoshima;Ikarigata;Ryusei;Osanai
Asagyokusei,3,12,-18,11,11,166,27,1,,N/A,Ryusei;Daishinkai;Shuji
Ryusei,4,11,-14,16,16,167,26,1,,N/A,Tsurubayashi;Chiyonoo;Yoshiyasu;Yago
Ienoshima,3,12,-18,13,13,168,25,1,,N/A,Chiyonoo;Asagyokusei;Shuji
Chiyonoo,5,10,-10,20,20,169,24,1,,N/A,Hoshuzan;Shuji;Aron;Yago;Kototsubasa
Hoshuzan,2,13,-22,5,5,170,23,1,,N/A,Tsurubayashi;Tokunomusashi
Yago,4,11,-14,17,17,171,22,1,,N/A,Hoshuzan;Wakamiyabi;Ienoshima;Yoshiyasu
Tokunomusashi,3,12,-18,9,9,172,21,1,,N/A,Aron;Yutakasho;Murayama
Wakamiyabi,5,10,-10,23,22,173,20,1,,N/A,Tokunomusashi;Nionoumi;Daimasakari;Dewataikai;Kototsubasa
Kototsubasa,4,11,-14,17,17,174,19,1,,N/A,Aron;Daimasakari;Murayama;Yago
Aron,3,12,-18,9,8,175,18,1,,N/A,Yutakasho;Nionoumi;Hoshuzan
Daimasakari,4,11,-14,13,13,176,17,1,,N/A,Yutakasho;Tokunomusashi;Hoshuzan;Aron
Yutakasho,1,14,-26,1,1,177,16,1,,N/A,Tsurubayashi
Nionoumi,3,12,-18,11,10,178,15,1,,N/A,Akiyoshi;Tokunomusashi
Akiyoshi,5,10,-10,18,17,179,14,1,,N/A,Yutakasho;Hakuonada;Murayama;Daimasakari;Sazanami
Murayama,2,13,-22,9,8,180,13,1,,N/A,Dewataikai;Nionoumi
Dewataikai,4,11,-14,17,15,181,12,1,,N/A,Hakuonada;Akiyoshi;Kawamura;Kirinryu
Sazanami,4,11,-14,17,14,182,11,1,,N/A,Hakuonada;Oka;Murayama;Dewataikai
Hakuonada,2,13,-22,4,1,183,10,1,,N/A,Gyokuozan
Oka,5,10,-10,16,9,184,9,1,,N/A,Kawamura;Urayama;Hanaoka
Kawamura,3,12,-18,10,7,185,8,1,,N/A,Kirinryu;Urayama
Gyokuozan,2,13,-22,2,0,186,7,1,,N/A,
Tochiseiryu,4,11,-14,19,13,187,6,1,,N/A,Gyokuozan;Oka;Hanaoka;Sazanami
Wakatakamoto,0,15,-30,0,0,188,5,1,,N/A,
Kirinryu,3,12,-18,10,6,189,4,1,,N/A,Gyokuozan;Hakuonada;Nionoumi
Gyotoku,6,9,-6,26,25,190,3,1,,N/A,Kirinryu;Tochiseiryu;Sazanami;Kototsubasa;Wakamiyabi
Urayama,4,11,-14,8,4,191,2,1,,N/A,Gyokuozan;Murayama
Hanaoka,4,11,-14,11,6,192,1,1,,N/A,Urayama;Kawamura
