Start Rank,End Rank,Wins,Matches,Avg Weighted Sanyaku Score,Signed Divergence
s1e,s1e,8,55,6.673,0
s1e,s1e,9,39,8.897,0
s1e,s1e,10,41,9.634,0
s1e,s1e,11,23,10.696,0
s1e,s1e,12,13,12.000,0
s1e,s1e,13,3,9.667,0
s1e,s1w,7,4,4.250,0
s1e,s1w,8,21,6.190,1
s1e,s1w,9,7,7.286,1
s1e,s1w,10,4,10.250,1
s1e,s1w,11,2,11.000,1
s1e,s1w,12,1,6.000,1
s1e,s2e,8,7,6.000,2
s1e,s2e,9,2,4.500,2
s1e,s2w,8,2,10.000,3
s1e,s3e,8,1,6.000,4
s1e,k1e,7,19,5.053,5
s1e,k1w,7,14,5.500,6
s1e,k2e,7,1,6.000,7
s1e,m1e,5,1,5.000,7
s1e,m1e,6,11,5.818,9
s1e,m1e,7,2,5.500,11
s1e,m1w,4,1,2.000,6
s1e,m1w,5,4,3.750,8
s1e,m1w,6,11,4.000,10
s1e,m2e,5,3,5.000,9
s1e,m2e,6,1,5.000,11
s1e,m2w,5,1,3.000,10
s1e,m2w,6,4,2.500,12
s1e,m3e,4,1,4.000,9
s1e,m3e,5,2,7.000,11
s1e,m3w,3,1,0.000,8
s1e,m3w,4,1,4.000,10
s1e,m3w,5,2,3.500,12
s1e,m4e,4,7,5.000,11
s1e,m4e,5,1,5.000,13
s1e,m4w,4,3,1.333,12
s1e,m5e,3,1,1.000,11
s1e,m5e,4,1,0.000,13
s1e,m5w,3,1,1.000,12
s1e,m6e,4,1,1.000,15
s1e,m6w,3,1,1.000,14
s1e,m7w,3,1,5.000,16
s1e,m8e,3,1,1.000,17
s1e,m8w,3,1,7.000,18
s1w,s1e,8,26,7.654,0
s1w,s1e,9,32,6.875,0
s1w,s1e,10,19,10.105,0
s1w,s1e,11,24,10.583,0
s1w,s1e,12,8,11.125,0
s1w,s1e,13,3,11.333,0
s1w,s1e,14,2,18.500,0
s1w,s1w,8,50,6.220,1
s1w,s1w,9,20,7.450,1
s1w,s1w,10,7,11.714,1
s1w,s1w,11,4,10.750,1
s1w,s1w,12,1,12.000,1
s1w,s1w,13,1,13.000,1
s1w,s2e,8,5,5.600,2
s1w,s2e,9,2,9.000,2
s1w,s2w,8,4,6.750,3
s1w,s2w,9,1,8.000,3
s1w,k1e,7,10,4.100,4
s1w,k1w,7,24,6.333,5
s1w,k2e,7,2,4.000,6
s1w,k2w,7,5,5.600,7
s1w,m1e,6,11,6.455,8
s1w,m1e,7,3,3.000,10
s1w,m1w,5,1,2.000,7
s1w,m1w,6,17,4.294,9
s1w,m1w,7,1,7.000,11
s1w,m2e,2,1,0.000,2
s1w,m2e,4,1,7.000,6
s1w,m2e,5,5,3.400,8
s1w,m2e,6,9,4.778,10
s1w,m2e,7,1,4.000,12
s1w,m2w,3,2,1.000,5
s1w,m2w,4,4,3.250,7
s1w,m2w,5,4,5.000,9
s1w,m2w,6,2,2.500,11
s1w,m3e,4,1,7.000,8
s1w,m3e,5,10,5.600,10
s1w,m3w,4,3,4.667,9
s1w,m3w,5,6,2.333,11
s1w,m4e,3,1,3.000,8
s1w,m4e,4,5,1.000,10
s1w,m4e,5,3,3.333,12
s1w,m4w,2,1,0.000,7
s1w,m4w,3,4,3.500,9
s1w,m4w,4,3,6.667,11
s1w,m5e,4,6,0.667,12
s1w,m5w,2,1,3.000,9
s1w,m5w,3,1,2.000,11
s1w,m5w,4,2,1.500,13
s1w,m6e,3,1,3.000,12
s1w,m6w,2,1,6.000,11
s1w,m6w,3,1,5.000,13
s1w,m7e,2,1,0.000,12
s1w,m7e,3,1,8.000,14
s1w,m7w,2,1,0.000,13
s1w,m7w,3,1,1.000,15
s1w,m8e,2,2,3.500,14
s2e,s1e,9,2,9.500,0
s2e,s1e,10,3,7.000,0
s2e,s1e,11,2,12.000,0
s2e,s1e,12,3,8.000,0
s2e,s1e,13,1,12.000,0
s2e,s1w,8,3,7.000,0
s2e,s1w,9,3,6.667,1
s2e,s1w,10,1,6.000,1
s2e,s1w,11,2,9.500,1
s2e,s2e,8,2,7.000,1
s2e,s2e,9,2,8.000,2
s2e,k1w,7,7,6.000,4
s2e,k2w,7,2,6.500,6
s2e,m1e,5,1,8.000,5
s2e,m1e,6,1,3.000,7
s2e,m1e,7,1,5.000,9
