Start Rank,End Rank,Wins,Number of Resulting Banzuke at End Rank,Sanyaku Results
j1e,s1e,0,0,[]
j1e,s1e,1,0,[]
j1e,s1e,2,0,[]
j1e,s1e,3,0,[]
j1e,s1e,4,0,[]
j1e,s1e,5,0,[]
j1e,s1e,6,0,[]
j1e,s1e,7,0,[]
j1e,s1e,8,0,[]
j1e,s1e,9,0,[]
j1e,s1e,10,0,[]
j1e,s1e,11,0,[]
j1e,s1e,12,0,[]
j1e,s1e,13,0,[]
j1e,s1e,14,0,[]
j1e,s1e,15,0,[]
,,TOTAL,0,
#,#,#,#,#
j1e,s1w,0,0,[]
j1e,s1w,1,0,[]
j1e,s1w,2,0,[]
j1e,s1w,3,0,[]
j1e,s1w,4,0,[]
j1e,s1w,5,0,[]
j1e,s1w,6,0,[]
j1e,s1w,7,0,[]
j1e,s1w,8,0,[]
j1e,s1w,9,0,[]
j1e,s1w,10,0,[]
j1e,s1w,11,0,[]
j1e,s1w,12,0,[]
j1e,s1w,13,0,[]
j1e,s1w,14,0,[]
j1e,s1w,15,0,[]
,,TOTAL,0,
#,#,#,#,#
j1e,s2e,0,0,[]
j1e,s2e,1,0,[]
j1e,s2e,2,0,[]
j1e,s2e,3,0,[]
j1e,s2e,4,0,[]
j1e,s2e,5,0,[]
j1e,s2e,6,0,[]
j1e,s2e,7,0,[]
j1e,s2e,8,0,[]
j1e,s2e,9,0,[]
j1e,s2e,10,0,[]
j1e,s2e,11,0,[]
j1e,s2e,12,0,[]
j1e,s2e,13,0,[]
j1e,s2e,14,0,[]
j1e,s2e,15,0,[]
,,TOTAL,0,
#,#,#,#,#
j1e,s2w,0,0,[]
j1e,s2w,1,0,[]
j1e,s2w,2,0,[]
j1e,s2w,3,0,[]
j1e,s2w,4,0,[]
j1e,s2w,5,0,[]
j1e,s2w,6,0,[]
j1e,s2w,7,0,[]
j1e,s2w,8,0,[]
j1e,s2w,9,0,[]
j1e,s2w,10,0,[]
j1e,s2w,11,0,[]
j1e,s2w,12,0,[]
j1e,s2w,13,0,[]
j1e,s2w,14,0,[]
j1e,s2w,15,0,[]
,,TOTAL,0,
#,#,#,#,#
j1e,s3e,0,0,[]
j1e,s3e,1,0,[]
j1e,s3e,2,0,[]
j1e,s3e,3,0,[]
j1e,s3e,4,0,[]
j1e,s3e,5,0,[]
j1e,s3e,6,0,[]
j1e,s3e,7,0,[]
j1e,s3e,8,0,[]
j1e,s3e,9,0,[]
j1e,s3e,10,0,[]
j1e,s3e,11,0,[]
j1e,s3e,12,0,[]
j1e,s3e,13,0,[]
j1e,s3e,14,0,[]
j1e,s3e,15,0,[]
,,TOTAL,0,
#,#,#,#,#
j1e,s3w,0,0,[]
j1e,s3w,1,0,[]
j1e,s3w,2,0,[]
j1e,s3w,3,0,[]
j1e,s3w,4,0,[]
j1e,s3w,5,0,[]
j1e,s3w,6,0,[]
j1e,s3w,7,0,[]
j1e,s3w,8,0,[]
j1e,s3w,9,0,[]
j1e,s3w,10,0,[]
j1e,s3w,11,0,[]
j1e,s3w,12,0,[]
j1e,s3w,13,0,[]
j1e,s3w,14,0,[]
j1e,s3w,15,0,[]
,,TOTAL,0,
#,#,#,#,#
j1e,k1e,0,0,[]
j1e,k1e,1,0,[]
j1e,k1e,2,0,[]
j1e,k1e,3,0,[]
j1e,k1e,4,0,[]
j1e,k1e,5,0,[]
j1e,k1e,6,0,[]
j1e,k1e,7,0,[]
j1e,k1e,8,0,[]
j1e,k1e,9,0,[]
j1e,k1e,10,0,[]
j1e,k1e,11,0,[]
j1e,k1e,12,0,[]
j1e,k1e,13,0,[]
j1e,k1e,14,0,[]
j1e,k1e,15,0,[]
,,TOTAL,0,
#,#,#,#,#
j1e,k1w,0,0,[]
j1e,k1w,1,0,[]
j1e,k1w,2,0,[]
j1e,k1w,3,0,[]
j1e,k1w,4,0,[]
j1e,k1w,5,0,[]
j1e,k1w,6,0,[]
j1e,k1w,7,0,[]
j1e,k1w,8,0,[]
j1e,k1w,9,0,[]
j1e,k1w,10,0,[]
j1e,k1w,11,0,[]
j1e,k1w,12,0,[]
j1e,k1w,13,0,[]
j1e,k1w,14,0,[]
j1e,k1w,15,0,[]
,,TOTAL,0,
#,#,#,#,#
j1e,k2e,0,0,[]
j1e,k2e,1,0,[]
j1e,k2e,2,0,[]
j1e,k2e,3,0,[]
j1e,k2e,4,0,[]
