Rank vs,y,o,s,k,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18
Y,-,2.103896103896104,2.578,3.9151193633952253,4.09480122324159,5.312252964426878,5.448275862068965,5.3895348837209305,5.354166666666667,4.311475409836065,6.5,5.846153846153846,3.4375,3.5555555555555554,3.0,3.3333333333333335,3.0,7.0,N/A,N/A,N/A,N/A,4.05
Total Matches,0,2151,1789,1853,1666,1597,1496,1099,610,324,165,89,71,41,16,13,8,8,0,0,0,0,12996
O,0.47530864197530864,-,1.3447412353923205,1.8855721393034826,2.31360201511335,2.873134328358209,2.9269102990033224,2.7051282051282053,3.0883534136546187,3.48,2.888888888888889,3.026315789473684,2.6,2.2,3.090909090909091,3.142857142857143,3.3333333333333335,2.6,7.0,N/A,1.0,N/A,2.19
Total Matches,2151,0,2809,2900,2631,2595,2364,1734,1018,560,315,153,108,64,45,29,26,18,8,0,6,0,19534
S,0.3878975950349108,0.7436374922408442,-,1.3727272727272728,1.611898016997167,1.694915254237288,1.9001782531194296,1.8619909502262444,2.0,1.7311827956989247,2.0,2.4482758620689653,1.3333333333333333,1.6470588235294117,3.857142857142857,2.0,1.7272727272727273,1.0,9.0,2.5,1.0,N/A,1.40
Total Matches,1789,2809,0,2088,1844,1749,1627,1265,828,508,300,200,147,90,68,30,30,22,10,7,4,0,15415
K,0.255420054200542,0.5303430079155673,0.7284768211920529,-,1.2135416666666667,1.1645746164574617,1.4305555555555556,1.2217898832684826,1.25,1.264840182648402,1.4149659863945578,1.5280898876404494,1.576271186440678,2.342857142857143,1.8214285714285714,1.736842105263158,1.04,1.0833333333333333,1.75,N/A,0.25,N/A,0.94
Total Matches,1853,2900,2088,0,1700,1552,1400,1142,783,496,355,225,152,117,79,52,51,25,11,0,5,0,14986
M1,0.24421209858103063,0.4314472252448313,0.6203866432337434,0.8240343347639485,-,1.0841121495327102,1.2685851318944845,1.2406417112299466,1.3151515151515152,1.2490566037735849,1.2547169811320755,1.3975903614457832,1.2330827067669172,2.125,1.4193548387096775,2.073170731707317,1.5,1.8333333333333333,0.8,1.1111111111111112,1.3333333333333333,1.0,0.86
Total Matches,1666,2631,1844,1700,0,1115,946,838,764,596,478,398,297,225,150,126,75,51,18,19,7,4,13948
M2,0.18824404761904762,0.34805194805194806,0.59,0.858682634730539,0.9224137931034483,-,0.9957716701902748,1.1770833333333333,1.0716253443526171,1.1777003484320558,1.05019305019305,1.116591928251121,1.1311475409836065,1.4,1.2065217391304348,1.2658227848101267,1.14,1.3703703703703705,2.5454545454545454,1.3,N/A,1.0,0.77
Total Matches,1597,2595,1749,1552,1115,0,944,836,752,625,531,472,390,276,203,179,107,64,39,23,0,4,14053
M3,0.18354430379746836,0.3416572077185017,0.5262664165103189,0.6990291262135923,0.7882797731568998,1.0042462845010616,-,1.110843373493976,1.0558375634517767,0.9708454810495627,1.151291512915129,0.9576923076923077,1.0141509433962264,1.1271676300578035,1.0272108843537415,1.2264150943396226,1.108433734939759,1.169811320754717,1.55,2.272727272727273,1.7777777777777777,3.0,0.73
Total Matches,1496,2364,1627,1400,946,944,0,876,810,676,583,509,427,368,298,236,175,115,51,36,25,4,13966
