Wakahaguro,1959.05,S1e,7-8,1959.07,K1w,11-4,1959.09,S2wHD,12-3 J,,,,,,,,,,,,,,,,,
Kashiwado,1960.03,S2wHD,9-6,1960.05,S1w,10-5,1960.07,S1e,11-4,,,,,,,,Taiho,1960.07,K1w,11-4,1960.09,S1w,12-3 J,1960.11,S1e,13-2 Y
Kitabayama,1961.01,S1e,8-7,1961.03,S1e,9-6,1961.05,S1e,11-4 J,,,,,,,,Tochihikari,1962.01,M4w,11-4,1962.03,K1w,10-5,1962.05,S2wHD,13-2 J
Sadanoyama,1961.11,S2eHD,8-7,1962.01,S1w,9-6,1962.03,S2eHD,13-2 Y,,,,,,,,Yutakayama,1962.09,M2w,12-3,1962.11,S1e,12-3 J,1963.01,S1e,13-2 J
Tochinoumi,1962.01,S1e,9-6,1962.03,S1w,9-6,1962.05,S1w,14-1 Y,,,,,,,,Maenoyama,1970.03,S2wHD,9-6,1970.05,S1e,12-3 J,1970.07,S1e,13-2 D
Kitanofuji,1966.03,S1e,8-7,1966.05,S1e,10-5,1966.07,S1e,10-5,,,,,,,,Daikirin,1970.05,S1w,9-6,1970.07,S1w,12-3,1970.09,S1e,12-3
Tamanoshima,1966.05,S1w,10-5,1966.07,S1w,9-6,1966.09,S1e,11-4,,,,,,,,Wajima,1972.05,S1w,12-3 Y,1972.07,S1e,8,1972.09,S2eHD,13-2 J
Kotozakura,1967.05,K1e,10-5,1967.07,S1w,11-4 J,1967.09,S1e,11-4,,,,,,,,Takanohana,1972.05,K1e,11-4 J,1972.07,S1w,12-3 J,1972.09,S1e,10-5
Kiyokuni,1969.01,K1w,10-5,1969.03,S1w,9-6,1969.05,S1w,12-3 J,,,,,,,,Daiju,1973.03,K1e,10-5,1973.05,S1e,11-4 J,1973.07,S1e,13-2
Kitanoumi,1973.09,K1e,8-7,1973.11,S1e,10-5,1974.01,S1e,14-1 Y,,,,,,,,Asahikuni,1975.11,S1w,8,1976.01,S1e,12-3 J,1976.03,S1e,13-2 D
Kaiketsu,1974.09,S2eHD,7-8,1974.11,K2wHD,12-3 Y,1975.01,S1e,11-4 J,,,,,,,,Wakamisugi,1976.09,S1w,11-4,1976.11,S1e,11-4,1977.01,S1e,11-4
Mienoumi,1975.07,S1e,8-7,1975.09,S2eHD,11-4,1975.11,S1e,13-2 Y,,,,,,,,Kaiketsu,1976.09,M4w,14-1 Y,1976.11,S1w,11-4,1977.01,S1w,11-4
Masuiyama,1979.09,K1e,8-7,1979.11,S1w,11-4,1980.01,S1e,12-3 J,,,,,,,,Chiyonofuji,1980.09,K1e,10-5,1980.11,S1e,11-4,1981.01,S1e,14-1 Y
Kotokaze,1981.05,S1w,9-6,1981.07,S1e,10-5,1981.09,S1e,12-3 Y,,,,,,,,Takanosato,1981.09,K2wHD,10-5,1981.11,S1e,11-4,1982.01,S1e,12-3 J
Onokuni,1985.03,S1w,9-6,1985.05,S1e,10-5,1985.07,S1e,12-3 J,,,,,,,,Wakashimazu,1982.07,K1e,10-5,1982.09,S1e,12-3 J,1982.11,S1e,12-3 J
Chiyotaikai,1998.09,S1e,9-6,1998.11,S1e,10-5,1999.01,S1e,13-2 Y,,,,,,,,Asashio,1982.11,M1e,9-6,1983.01,S1w,14-1 D,1983.03,S1e,12-3 J
Kisenosato,2011.07,S1w,10-5,2011.09,S1w,12-3 J,2011.11,S1e,10-5,,,,,,,,Hokutenyu,1983.01,S1e,11-4,1983.03,S1w,12-3 J,1983.05,S1e,14-1 Y
Goeido,2014.03,S1e,12-3 J,2014.05,S1e,8-7,2014.07,S1e,12-3 J,,,,,,,,Kitao,1985.07,M1e,12-3 J,1985.09,S1w,11-4,1985.11,S1e,12-3 J
Asanoyama,2019.11,K2w,11-4 J,2020.01,S1e,10-5,2020.03,S1e,11-4,,,,,,,,Hokutoumi,1986.03,S1w,13-2 Y,1986.05,S1e,11-4,1986.07,S1e,12-3
Shodai,2020.03,S1w,8-7,2020.07,S1e,11-4,2020.09,S1e,13-2 Y,,,,,,,,Konishiki,1987.01,S1e,10-5,1987.03,S1e,11-4 J,1987.05,S1e,12-3
,,,,,,,,,,,,,,,,,Asahifuji,1987.05,S1w,10-5,1987.07,S1e,11-4,1987.09,S1e,12-3
,,,,,,,,,,,,,,,,,Kirishima,1989.11,K1w,10-5,1990.01,K1e,11-4 J,1990.03,S1e,13-2 D
,,,,,,,,,,,,,,,,,Akebono,1992.01,K1w,13-2 J,1992.03,S1e,8,1992.05,S1w,13-2 Y
