Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Musashimaru,13,2,22,99,123.2828,0,66,3.79,Y1e,Y1e,Wakanosato;Toki;Aminishiki;Takanowaka;Tosanoumi;Takanonami;Daizen;Kyokutenho;Akinoshima;Kotonowaka;Tochinonada;Asashoryu;Tochiazuma
Takanohana,0,15,-30,0,0,1,65,3.79,Y1w,Y1w,
Kaio,11,4,14,92,120.11219999999999,2,64,2.2896,O1e,O1e,Aminishiki;Daizen;Toki;Takanonami;Tosanoumi;Takanowaka;Kyokutenho;Chiyotaikai;Tochiazuma;Musoyama;Musashimaru
Tochiazuma,10,5,10,86,103.42029999999998,3,63,2.2896,O1w,O1w,Toki;Takanonami;Wakanosato;Miyabiyama;Asashoryu;Tochinonada;Chiyotaikai;Daizen;Dejima;Takamisakari
Musoyama,9,6,6,67,79.12800000000001,4,62,2.2896,O2e,O2e,Takanonami;Takanowaka;Tochinonada;Daizen;Toki;Akinoshima;Wakanosato;Chiyotaikai;Kyokushuzan
Chiyotaikai,11,4,14,91,113.0444,5,61,2.2896,O2w,O2w,Tosanoumi;Aminishiki;Takanonami;Toki;Wakanosato;Miyabiyama;Tochinonada;Takanowaka;Kyokutenho;Musashimaru;Takamisakari
Asashoryu,11,4,14,101,127.80389999999997,6,60,1.5961,S1e,S1e,Miyabiyama;Takanowaka;Takanonami;Kaio;Wakanosato;Musoyama;Kyokushuzan;Aminishiki;Dejima;Kyokutenho;Chiyotaikai
Kotomitsuki,0,15,-30,0,0,7,59,1.5961,S1w,S1w,
Wakanosato,8,7,2,70,89.5003,8,58,1.2755,K1e,K1e,Miyabiyama;Aminishiki;Tochinonada;Toki;Kaio;Dejima;Takamisakari;Tosanoumi
Tochinonada,7,8,-2,59,81.69,9,57,1.2755,K1w,K1w,Takanowaka;Kaio;Asashoryu;Aminishiki;Takanonami;Tosanoumi;Kyokutenho
Aminishiki,5,10,-10,35,42.5527,10,56,1.1274,,M1e,Takanonami;Tochiazuma;Musoyama;Daizen;Akinoshima
Toki,4,11,-14,23,28.3212,11,55,1.1274,,M1w,Tochinonada;Aminishiki;Takanonami;Akinoshima
Takanonami,4,11,-14,26,26.435499999999998,12,54,1.0589,,M2e,Tamakasuga;Chiyotenzan;Daizen;Jumonji
Tosanoumi,8,7,2,69,83.52919999999999,13,53,1.0589,,M2w,Musoyama;Asashoryu;Tochiazuma;Akinoshima;Kyokushuzan;Toki;Otsukasa;Takanowaka
Miyabiyama,10,5,10,88,105.0843,14,52,1.0272,,M3e,Kaio;Kyokutenho;Tosanoumi;Kotonowaka;Daizen;Toki;Kyokushuzan;Kaiho;Tochinonada;Hokutoriki
Takanowaka,7,8,-2,50,57.72539999999999,15,51,1.0272,,M3w,Tamakasuga;Takamisakari;Tochiazuma;Akinoshima;Toki;Aminishiki;Wakanoyama
Daizen,4,11,-14,27,27.704399999999996,16,50,1.0126,,M4e,Takamisakari;Wakanoyama;Chiyotenzan;Toki
