Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Terunofuji,2,13,-22,17,25.424999999999997,0,190,3.79,Y1e,Y1e,Ura;Asanoyama
Kirishima,5,10,-10,39,57.292899999999996,1,189,2.2896,O1e,O1e,Meisei;Oho;Nishikigi;Takakeisho;Kotonowaka
Hoshoryu,11,4,14,101,136.60920000000002,2,188,2.2896,O1w,O1w,Nishikigi;Atamifuji;Oho;Asanoyama;Abi;Takanosho;Wakamotoharu;Daieisho;Takerufuji;Gonoyama;Onosato
Takakeisho,8,7,2,66,97.19810000000001,3,187,2.2896,O2e,O2e,Asanoyama;Meisei;Ura;Hiradoumi;Nishikigi;Oho;Tobizaru;Kotonowaka
Kotonowaka,10,5,10,85,120.67580000000001,4,186,2.2896,O2w,O2w,Atamifuji;Nishikigi;Takanosho;Abi;Meisei;Wakamotoharu;Daieisho;Oho;Onosato;Hoshoryu
Daieisho,6,9,-6,45,67.2982,5,185,1.5961,S1e,S1e,Nishikigi;Wakamotoharu;Ura;Atamifuji;Takakeisho;Takanosho
Wakamotoharu,9,6,6,66,100.0639,6,184,1.5961,S1w,S1w,Oho;Meisei;Takanosho;Nishikigi;Ura;Kirishima;Takakeisho;Atamifuji;Asanoyama
Abi,9,6,6,74,99.1267,7,183,1.2755,K1e,K1e,Kirishima;Takakeisho;Daieisho;Wakamotoharu;Nishikigi;Ura;Shonannoumi;Takayasu;Atamifuji
Nishikigi,3,12,-18,17,24.887900000000002,8,182,1.2755,K1w,K1w,Terunofuji;Meisei;Kinbozan
Ura,6,9,-6,50,72.6492,9,181,1.1274,,M1e,Hoshoryu;Kirishima;Kotonowaka;Asanoyama;Nishikigi;Meisei
Asanoyama,9,6,6,73,106.34750000000001,10,180,1.1274,,M1w,Kotonowaka;Kirishima;Daieisho;Nishikigi;Meisei;Oho;Takanosho;Abi;Takerufuji
Atamifuji,8,7,2,61,92.098,11,179,1.0589,,M2e,Kirishima;Tobizaru;Takakeisho;Asanoyama;Takanosho;Ura;Nishikigi;Hiradoumi
Meisei,6,9,-6,43,58.7097,12,178,1.0589,,M2w,Daieisho;Terunofuji;Hiradoumi;Atamifuji;Ichiyamamoto;Takanosho
Oho,7,8,-2,40,61.21529999999999,13,177,1.0272,,M3e,Daieisho;Terunofuji;Atamifuji;Takanosho;Kitanowaka;Nishikigi;Ura
Takanosho,5,10,-10,30,42.480799999999995,14,176,1.0272,,M3w,Hiradoumi;Terunofuji;Kirishima;Nishikigi;Hokutofuji
Tobizaru,8,7,2,56,84.15580000000001,15,175,1.0126,,M4e,Takanosho;Oho;Hoshoryu;Terunofuji;Kirishima;Meisei;Ura;Kinbozan
Hiradoumi,9,6,6,69,93.47160000000001,16,174,1.0126,,M4w,Midorifuji;Tsurugisho;Tobizaru;Gonoyama;Kirishima;Onosho;Oho;Ura;Daieisho
Midorifuji,7,8,-2,59,76.54929999999999,17,173,1.0058,,M5e,Tobizaru;Takanosho;Tamawashi;Hoshoryu;Kotoshoho;Shodai;Kirishima
Onosato,11,4,14,90,114.77300000000001,18,172,1.0058,,M5w,Tsurugisho;Gonoyama;Hiradoumi;Midorifuji;Kinbozan;Meisei;Tamawashi;Wakamotoharu;Takakeisho;Daieisho;Abi
Tsurugisho,2,13,-22,15,18.9257,19,171,1.0027,,M6e,Kinbozan;Midorifuji
Gonoyama,10,5,10,85,96.56210000000002,20,170,1.0027,,M6w,Tamawashi;Onosho;Tsurugisho;Midorifuji;Takayasu;Shodai;Tobizaru;Mitakeumi;Daieisho;Nishikifuji
Kinbozan,6,9,-6,42,49.481300000000005,21,169,1.0012,,M7e,Gonoyama;Midorifuji;Endo;Kitanowaka;Myogiryu;Kirishima
