Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Terunofuji,14,1,26,130,149.1941,0,188,3.79,Y1e,Y1e,Ura;Abi;Gonoyama;Hokutofuji;Tobizaru;Ryuden;Nishikigi;Kinbozan;Onosho;Onosato;Kotonowaka;Hoshoryu;Kirishima;Kotonowaka
Kirishima,11,4,14,87,102.7297,1,187,2.2896,O1e,O1e,Wakamotoharu;Takayasu;Atamifuji;Abi;Gonoyama;Hokutofuji;Shodai;Onosho;Daieisho;Tamawashi;Hoshoryu
Hoshoryu,10,5,10,81,89.7226,2,186,2.2896,O1w,O1w,Atamifuji;Midorifuji;Ura;Wakamotoharu;Tobizaru;Hokutofuji;Ryuden;Daieisho;Onosato;Takanosho
Kotonowaka,13,2,22,106,118.4167,3,185,1.5961,S1e,S1e,Abi;Gonoyama;Midorifuji;Atamifuji;Ura;Ryuden;Takayasu;Daieisho;Onosato;Oho;Onosho;Kirishima;Tobizaru
Daieisho,9,6,6,66,76.8542,4,184,1.5961,S1w,S1w,Gonoyama;Abi;Shodai;Wakamotoharu;Ura;Midorifuji;Ryuden;Kinbozan;Asanoyama
Takayasu,2,13,-22,12,12.4777,5,183,1.2755,K1e,K1e,Hokutofuji;Ura
Ura,6,9,-6,31,36.7422,6,182,1.2755,K1w,K1w,Atamifuji;Gonoyama;Tobizaru;Shodai;Ryuden
Wakamotoharu,10,5,10,86,97.8853,7,181,1.1274,,M1e,Terunofuji;Kotonowaka;Takayasu;Ura;Midorifuji;Oho;Tamawashi;Onosho;Nishikigi
Atamifuji,6,9,-6,46,54.9968,8,180,1.1274,,M1w,Tobizaru;Daieisho;Abi;Gonoyama;Shodai;Kinbozan
Midorifuji,5,10,-10,35,39.9152,9,179,1.0589,,M2e,Kirishima;Gonoyama;Ura;Myogiryu;Ryuden
Abi,8,7,2,56,67.2768,10,178,1.0589,,M2w,Hoshoryu;Shodai;Gonoyama;Ryuden;Ura;Midorifuji;Ichiyamamoto;Wakamotoharu
Gonoyama,5,10,-10,29,34.9904,11,177,1.0272,,M3e,Takayasu;Hoshoryu;Shodai;Ryuden;Myogiryu
Hokutofuji,4,11,-14,32,36.1415,12,176,1.0272,,M3w,Ura;Daieisho;Abi;Midorifuji
Tobizaru,7,8,-2,50,57.3562,13,175,1.0126,,M4e,Nishikigi;Ryuden;Kinbozan;Kirishima;Hokutofuji;Midorifuji;Ichiyamamoto
Shodai,4,11,-14,33,43.0482,14,174,1.0126,,M4w,Tobizaru;Ryuden;Midorifuji;Terunofuji
Ryuden,3,12,-18,17,17.0905,15,173,1.0058,,M5e,Ichiyamamoto;Kinbozan;Hokuseiho
Nishikigi,8,7,2,57,62.3246,16,172,1.0058,,M5w,Ryuden;Shodai;Shonannoumi;Kinbozan;Hiradoumi;Atamifuji;Daieisho;Tamawashi
Kinbozan,7,8,-2,44,48.7758,17,171,1.0027,,M6e,Shonannoumi;Ichiyamamoto;Shodai;Mitakeumi;Hiradoumi;Myogiryu;Midorifuji
Shonannoumi,4,11,-14,23,26.7253,18,170,1.0027,,M6w,Ichiyamamoto;Shodai;Bushozan;Atamifuji
Ichiyamamoto,5,10,-10,40,40.8554,19,169,1.0012,,M7e,Nishikigi;Mitakeumi;Hiradoumi;Churanoumi;Takarafuji
Asanoyama,9,6,6,63,66.5219,20,168,1.0012,,M7w,Ichiyamamoto;Kinbozan;Shonannoumi;Hokuseiho;Hiradoumi;Nishikigi;Meisei;Gonoyama;Atamifuji
Hokuseiho,2,13,-22,15,15.1536,21,167,1.0006,,M8e,Meisei;Shonannoumi
Hiradoumi,8,7,2,52,55.5586,22,166,1.0006,,M8w,Hokuseiho;Mitakeumi;Tamawashi;Shonannoumi;Bushozan;Endo;Tobizaru;Abi
Mitakeumi,6,9,-6,43,43.9362,23,165,1.0003,,M9e,Meisei;Hokuseiho;Tsurugisho;Shonannoumi;Nishikigi;Endo
Meisei,9,6,6,75,76.2604,24,164,1.0003,,M9w,Hiradoumi;Sadanoumi;Tsurugisho;Tamawashi;Shonannoumi;Nishikigi;Endo;Kotoshoho;Shimazuumi
Tamawashi,8,7,2,69,70.2342,25,163,1.0001,,M10e,Oho;Tsurugisho;Mitakeumi;Takanosho;Asanoyama;Shonannoumi;Atamifuji;Churanoumi
Sadanoumi,6,9,-6,39,39.1534,26,162,1.0001,,M10w,Tamawashi;Endo;Ichiyamamoto;Bushozan;Takarafuji;Tomokaze
Tsurugisho,9,6,6,61,63.9907,27,161,1.0001,,M11e,Sadanoumi;Tomokaze;Myogiryu;Ichiyamamoto;Churanoumi;Kinbozan;Shodai;Shimazuumi;Bushozan
Oho,10,5,10,77,77.2769,28,160,1.0001,,M11w,Tsurugisho;Sadanoumi;Takanosho;Myogiryu;Endo;Kotoshoho;Bushozan;Hiradoumi;Takarafuji;Tomokaze
Takanosho,10,5,10,73,76.1828,29,159,1,,M12e,Myogiryu;Churanoumi;Sadanoumi;Tsurugisho;Tomokaze;Takarafuji;Tobizaru;Kotoshoho;Bushozan;Gonoyama
Myogiryu,5,10,-10,34,34.0264,30,158,1,,M12w,Endo;Takarafuji;Bushozan;Meisei;Ichiyamamoto
Churanoumi,7,8,-2,42,45.0498,31,157,1,,M13e,Endo;Myogiryu;Tomokaze;Sadanoumi;Mitakeumi;Shonannoumi;Shodai
Endo,5,10,-10,36,36.199,32,156,1,,M13w,Takanosho;Tomokaze;Shonannoumi;Ryuden;Roga
Kotoshoho,9,6,6,67,70.1809,33,155,1,,M14e,Onosho;Tomokaze;Myogiryu;Churanoumi;Aoiyama;Sadanoumi;Tsurugisho;Wakamotoharu;Mitakeumi
Onosho,10,5,10,73,73.1967,34,154,1,,M14w,Tomokaze;Onosato;Endo;Bushozan;Myogiryu;Aoiyama;Shimazuumi;Asanoyama;Meisei;Sadanoumi
Tomokaze,5,10,-10,37,37.2379,35,153,1,,M15e,Shimazuumi;Hiradoumi;Shonannoumi;Mitakeumi;Ichiyamamoto
Onosato,11,4,14,87,87.3211,36,152,1,,M15w,Bushozan;Kotoshoho;Shimazuumi;Aoiyama;Takarafuji;Oho;Endo;Meisei;Takanosho;Sadanoumi;Tamawashi
Takarafuji,6,9,-6,38,38.1667,37,151,1,,M16e,Tomokaze;Aoiyama;Endo;Churanoumi;Mitakeumi;Kotoshoho
Bushozan,4,11,-14,22,22.0208,38,150,1,,M16w,Aoiyama;Takarafuji;Tomokaze;Churanoumi
Shimazuumi,9,6,6,62,62.1575,39,149,1,,M17e,Aoiyama;Bushozan;Takarafuji;Kotoshoho;Oho;Myogiryu;Sadanoumi;Churanoumi;Mitakeumi
Aoiyama,0,15,-30,0,0,40,148,1,,M17w,
Daiamami,8,7,2,53,53,41,147,1,,N/A,Mitoryu;Aoiyama;Kitanowaka;Tamashoho;Kotoeko;Shirokuma;Shimanoumi;Shishi
Mitoryu,7,8,-2,63,63.0005,42,146,1,,N/A,Tohakuryu;Kitanowaka;Shimazuumi;Kotoeko;Oshoma;Shirokuma;Tokihayate
Nishikifuji,10,5,10,79,79,43,145,1,,N/A,Tohakuryu;Mitoryu;Daiamami;Tamashoho;Chiyoshoma;Bushozan;Kitanowaka;Chiyomaru;Shirokuma;Asakoryu
Tohakuryu,8,7,2,63,63.0003,44,144,1,,N/A,Daiamami;Roga;Oshoma;Kotoeko;Hidenoumi;Shimanoumi;Takarafuji;Chiyomaru
Roga,9,6,6,79,79,45,143,1,,N/A,Kotoeko;Tamashoho;Mitoryu;Daiamami;Nishikifuji;Tokihayate;Shirokuma;Takerufuji;Chiyoshoma
Kitanowaka,10,5,10,91,91,46,142,1,,N/A,Roga;Tamashoho;Kotoeko;Tohakuryu;Oshoma;Chiyoshoma;Kagayaki;Takerufuji;Tokihayate;Hakuyozan
Tamashoho,4,11,-14,27,27,47,141,1,,N/A,Kotoeko;Tohakuryu;Mitoryu;Yuma
Kotoeko,3,12,-18,23,23,48,140,1,,N/A,Nishikifuji;Yuma;Chiyomaru
Chiyoshoma,7,8,-2,50,50,49,139,1,,N/A,Oshoma;Kotoeko;Tohakuryu;Daiamami;Mitoryu;Tochimusashi;Tamashoho
Oshoma,8,7,2,65,65,50,138,1,,N/A,Kagayaki;Shishi;Kotoeko;Daiamami;Akua;Roga;Nishikifuji;Tenshoho
Tokihayate,10,5,10,84,84,51,137,1,,N/A,Shirokuma;Oshoma;Chiyoshoma;Shimanoumi;Shiden;Tamashoho;Kagayaki;Nishikifuji;Daiamami;Tohakuryu
Shirokuma,8,7,2,62,62,52,136,1,,N/A,Chiyoshoma;Oshoma;Shimanoumi;Shiden;Asakoryu;Tohakuryu;Tenshoho;Chiyosakae
Kagayaki,9,6,6,75,75,53,135,1,,N/A,Shishi;Shimanoumi;Chiyoshoma;Shirokuma;Daishoho;Tamashoho;Nishikifuji;Mitoryu;Oshoumi
Shishi,7,8,-2,54,54,54,134,1,,N/A,Shirokuma;Asakoryu;Daishoho;Tamashoho;Tenshoho;Akua;Mitoryu
Shimanoumi,6,9,-6,42,42,55,133,1,,N/A,Asakoryu;Shishi;Chiyomaru;Akua;Yuma;Tochimusashi
