Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Asashoryu,Y1w,Y1e,N/A,1,1,0,-9,10,-9,105.2717,3,4.4677
Musashimaru,Y1e,Y1w,M10w,0,0,1,30,0,29,0,0,0
Chiyotaikai,O2e,O1e,N/A,4,4,2,-14,12,-16,135.4357,3,6.341
Kaio,O2w,O1w,N/A,5,5,3,-5,10,-8,116.4933,3,7.3551
Musoyama,O1e,O2e,M9w,2,2,4,28,1,24,4.6371,0,0
Wakanosato,S2e,S1e,N/A,8,8,5,2,9,-3,106.252,5,9.740400000000001
Kyokutenho,M1w,S1w,N/A,12,12,6,6,9,0,81.0388,3,7.6757
Tochiazuma,O1w,S2e,M12e,3,3,7,33,0,26,0,0,0
Dejima,K1e,K1e,N/A,9,9,8,7,8,-1,101.3031,4,8.9512
Tochinonada,M2e,K1w,N/A,13,13,9,7,9,-2,89.3516,4,7.4508
Tosanoumi,K1w,K2e,N/A,10,10,10,8,8,-2,92.05109999999999,2,3.1922
Takamisakari,M2w,M1e,M1w,14,14,11,12,8,1,80.2209,4,6.4367
Takanonami,M1e,M1w,M2e,11,11,12,13,7,1,68.8053,3,5.8547
Kotomitsuki,S1w,M2e,M2e,7,7,13,13,6,0,58.2646,1,2.2896
Kyokushuzan,M7w,M2w,M2w,24,24,14,14,10,0,88.6433,1,1.5961
Tamanoshima,M4w,M3e,M3w,18,18,15,16,8,1,84.8103,3,5.4818
Kaiho,M5w,M3w,M4w,20,20,16,18,8,2,84.6397,3,4.8406
Kotonowaka,M3w,M4e,M4w,16,16,17,18,7,1,68.9352,2,5.3861
Hokutoriki,M11e,M4w,M6e,31,31,18,21,10,3,91.2712,1,1.2755
Kasugao,M7e,M5e,M6e,23,23,19,21,8,2,51.30169999999999,0,0
Miyabiyama,M9w,M5w,M6w,28,28,20,22,9,2,74.6422,0,0
Tokitsuumi,M8e,M6e,M7e,25,25,21,23,8,2,72.0336,0,0
Aminishiki,M9e,M6w,M8e,27,27,22,25,8,3,69.24249999999999,0,0
Iwakiyama,M6e,M7e,M9e,21,21,23,27,6,4,41.8574,0,0
Kotoryu,M5e,M7w,M10e,19,19,24,29,5,5,55.147800000000004,1,1.2755
Tamarikido,M11w,M8e,M10w,32,32,25,30,8,5,58.144800000000004,0,0
Gojoro,M14e,M8w,M11e,37,37,26,31,9,5,68.78309999999999,0,0
Wakanoyama,M4e,M9e,M11e,17,17,27,31,4,4,38.7172,1,1.5961
Jumonji,M14w,M9w,M11w,38,38,28,32,9,4,64.09889999999999,0,0
Toki,M6w,M10e,M11w,22,22,29,32,5,3,36.9666,0,0
Buyuzan,M10w,M10w,M11w,30,30,30,32,7,2,52.0768,0,0
Shimotori,M3e,M11e,M12e,15,15,31,33,3,2,26.3722,1,1.5961
Aogiyama,J3w,M11w,M13e,45,45,32,35,10,3,94.0034,0,0
Yotsukasa,J1w,M12e,M13e,41,41,33,35,9,2,63.001,0,0
Asasekiryu,M10e,M12w,M13e,29,29,34,35,6,1,51.7292,0,0
Tochisakae,J8e,M13e,M13w,54,54,35,36,12,1,101,0,0
Takanowaka,S1e,M13w,M13w,6,6,36,36,0,0,0,0,0
Otsukasa,J2w,M14e,M14e,43,43,37,37,9,0,75.0004,0,0
Asanowaka,J3e,M14w,M14w,44,44,38,38,9,0,73.0006,0,0
Oginishiki,J4e,M15e,M15w,46,46,39,40,9,1,75.0004,0,0
Akinoshima,M12w,M15w,M15w,34,34,40,40,6,0,50.1562,0,0
Takanotsuru,M8w,M16e,M15w,26,26,41,40,4,-1,37.445699999999995,0,0
Kasuganishiki,M13e,J1e,M16e,35,35,42,41,6,-1,40.023999999999994,0,0
Kinkaiyama,M12e,J1w,J1w,33,33,43,43,5,0,30.17,0,0
Kobo,J2e,J2e,J2e,42,42,44,44,7,0,55.013099999999994,0,0
Ushiomaru,J4w,J2w,J2w,47,47,45,45,8,0,72.001,0,0
Hamanishiki,J9e,J3e,J3e,56,56,46,46,10,0,77,0,0
Hayateumi,J6w,J3w,J4w,51,51,47,49,8,2,64,0,0
Tochinohana,M15e,J4e,J4w,39,39,48,49,5,1,30.0611,0,0
Wakatoba,J8w,J4w,J6w,55,55,49,53,8,4,62,0,0
Kakizoe,J11e,J5e,J7e,60,60,50,54,9,4,61,0,0
Komahikari,J1e,J5w,J7e,40,40,51,54,4,3,26.0034,0,0
Wakakosho,J7e,J6e,J7e,52,52,52,54,7,2,58,0,0
Harunoyama,J10w,J6w,J8w,59,59,53,57,8,4,54,0,0
Senshuyama,J5e,J7e,J9e,48,48,54,58,5,4,40,0,0
Oikari,J5w,J7w,J9w,49,49,55,59,5,4,35,0,0
Takekaze,M13w,J8e,J11e,36,36,56,62,1,6,6.0034,0,0
Dewanofuji,J9w,J8w,J9w,57,57,57,59,7,2,47,0,0
Gokenzan,J6e,J9e,J12e,50,50,58,64,4,6,28,0,0
Kitazakura,J10e,J9w,J14e,58,58,59,68,5,9,32,0,0
Tomikaze,J12e,J10e,J14e,62,62,60,68,6,8,21,0,0
Kotonomine,J13e,J10w,N/A,64,64,61,70,6,9,24,0,0
Hidenokuni,J13w,J11e,N/A,65,65,62,75,5,13,30,0,0
Juzan,J11w,J11w,N/A,61,61,63,83,2,20,14,0,0
Tamakasuga,J7w,J12e,N/A,53,53,64,83,0,19,0,0,0
Wakatenro,J12w,J12w,N/A,63,63,65,93,0,28,0,0,0
