Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Hakuho,Y1w,Y1e,N/A,1,0,-25,14,-25,196.98739999999998,9,21.2061
Kakuryu,Y2e,Y1w,N/A,2,1,-8,10,-9,114.95739999999999,5,10.226700000000001
Harumafuji,Y1e,Y2e,N/A,0,2,-6,9,-8,99.4265,3,5.8547
Kisenosato,O1w,O1e,N/A,4,3,-18,13,-21,173.7333,8,16.402
Goeido,O2e,O1w,N/A,5,4,-13,12,-17,139.5424,7,16.6269
Kotoshogiku,O1e,O2e,N/A,3,5,1,8,-4,71.5244,4,5.7432
Terunofuji,O2w,O2w,N/A,6,6,4,8,-2,79.4083,4,8.9512
Kotoyuki,M1e,S1e,N/A,11,7,-7,12,-14,142.4821,7,14.112400000000001
Ikioi,M4e,S1w,N/A,17,8,7,10,-1,95.4055,2,3.5651
Kaisei,M7w,K1e,N/A,24,9,10,11,1,85.757,0,0
Myogiryu,M6e,K1w,M1e,21,10,11,10,1,91.9447,0,0
Okinoumi,M2e,M1e,M1e,13,11,11,8,0,75.9661,5,9.0469
Takarafuji,K1w,M1w,M3w,10,12,16,6,4,72.8485,3,6.9822
Shodai,M6w,M2e,M3w,22,13,16,9,3,67.6782,0,0
Ichinojo,M11e,M2w,M4e,31,14,17,11,3,93.24419999999998,0,0
Aoiyama,M3e,M3e,M4e,15,15,17,7,2,58.6687,3,4.4677
Aminishiki,M3w,M3w,M4w,16,16,18,7,2,52.6401,0,0
Osunaarashi,J1e,M4e,M5w,42,17,20,13,3,115.0009,0,0
Tochinoshin,M2w,M4w,M5w,14,18,20,6,2,49.3254,2,3.1922
Yoshikaze,S1e,M5e,M6e,7,19,21,4,2,47.87820000000001,4,8.9512
Takayasu,M1w,M5w,M6w,12,20,22,5,2,39.473,3,4.1471
Takanoiwa,M8e,M6e,M7e,25,21,23,8,2,60.259299999999996,0,0
Tochiozan,K1e,M6w,M7e,9,22,23,4,1,33.0637,2,2.8716
Tamawashi,M10w,M7e,M7w,30,23,24,9,1,61.06009999999999,0,0
Kyokushuho,M5e,M7w,M8e,19,24,25,6,1,40.764799999999994,0,0
Mitakeumi,M13w,M8e,M8w,36,25,26,10,1,77.22229999999999,0,0
Toyonoshima,S1w,M8w,M8w,8,26,26,3,0,42.6517,2,7.58
Daieisho,M14w,M9e,M9w,38,27,28,10,1,69.1805,0,0
Sokokurai,M4w,M9w,M9w,18,28,28,5,0,37.5946,0,0
Sadanoumi,M9w,M10e,M10w,28,29,30,7,1,43.1957,0,0
Tokushoryu,M12e,M10w,M11e,33,30,31,8,1,62.220000000000006,0,0
Chiyootori,M13e,M11e,M12e,35,31,33,8,2,63.0687,0,0
Takekaze,M7e,M11w,M12e,23,32,33,5,1,26.36,0,0
Amuru,M11w,M12e,M12w,32,33,34,7,1,53.1529,0,0
Shohozan,M5w,M12w,M12w,20,34,34,4,0,29.5946,1,1.2755
Nishikigi,J2w,M13e,M13e,45,35,35,10,0,81,0,0
Daishomaru,M14e,M13w,M13e,37,36,35,8,-1,65.06620000000001,0,0
Hidenoumi,M12w,M14e,M13w,34,37,36,7,-1,48.3095,0,0
