Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Kakuryu,Y1e,Y1e,M3w,0,2,0,16,4,16,34.6206,1,1.2755
Hakuho,Y1w,Y1w,M12e,1,3,1,33,0,32,0,0,0
Takakeisho,S1w,O1e,N/A,6,8,2,-10,12,-12,137.4888,2,3.8857
Goeido,O1w,O1w,N/A,3,5,3,-5,10,-8,90.3161,2,3.8857
Takayasu,O1e,O2e,M12w,2,4,4,34,0,30,0,0,0
Mitakeumi,S1e,S1e,N/A,5,7,5,-17,12,-22,127.1995,4,7.1302
Abi,K1e,S1w,N/A,7,9,6,3,9,-3,78.1381,4,9.6447
Tochinoshin,O2e,S2e,M1w,4,6,7,12,6,5,53.964099999999995,1,1.2755
Asanoyama,M2w,K1e,N/A,12,14,8,4,10,-4,111.25739999999999,5,11.2408
Hokutofuji,M1e,K1w,N/A,9,11,9,5,9,-4,100.94759999999998,3,6.341
Endo,K1w,K2e,N/A,8,10,10,8,8,-2,81.40899999999999,2,3.8857
Okinoumi,M8e,M1e,M1e,23,25,11,11,11,0,96.1685,1,1.2755
Daieisho,M3e,M1w,M2e,13,15,12,13,8,1,76.2835,2,6.0796
Takarafuji,M8w,M2e,M5w,24,26,13,20,9,7,76.7046,0,0
Meisei,M10w,M2w,M5w,28,30,14,20,10,6,92.5722,0,0
Myogiryu,M6w,M3e,M5w,20,22,15,20,8,5,60.310999999999986,2,3.5651
Tomokaze,M3w,M3w,M4w,14,16,16,18,7,2,65.6561,3,7.3551
Tamawashi,M4e,M4e,M5e,15,17,17,19,7,2,55.5922,4,8.630600000000001
Kotoyuki,M9w,M4w,M6w,26,28,18,22,9,4,69.05180000000001,0,0
Aoiyama,M1w,M5e,M6w,10,12,19,22,5,3,34.3165,0,0
Ryuden,M5w,M5w,M6w,18,20,20,22,7,2,71.1899,1,1.5961
Onosho,M11e,M6e,M8e,29,31,21,25,9,4,69.0539,0,0
Enho,M11w,M6w,M8w,30,32,22,26,9,4,75.14340000000001,0,0
Tsurugisho,M14e,M7e,M9e,35,37,23,27,10,4,85.3677,0,0
Kotoeko,M7w,M7w,M8w,22,24,24,26,7,2,51.8516,0,0
Shohozan,M12e,M8e,M9e,31,33,25,27,9,2,70.0958,0,0
Sadanoumi,M10e,M8w,M9e,27,29,26,27,8,1,62.37790000000001,0,0
Kotoshogiku,M7e,M9e,M10e,21,23,27,29,6,2,47.5449,0,0
Yutakayama,M16e,M9w,M11e,39,41,28,31,10,3,83.03200000000001,0,0
Shimanoumi,M6e,M10e,M11e,19,21,29,31,5,2,34.97709999999999,0,0
Shodai,M4w,M10w,M13w,16,18,30,36,3,6,21.830099999999995,0,0
Ishiura,M15e,M11e,M14e,37,39,31,37,8,6,60.7236,0,0
Ichinojo,M2e,M11w,M15e,11,13,32,39,1,7,8.7439,1,2.2896
Terutsuyoshi,M9e,M12e,M16e,25,27,33,41,4,8,33.019999999999996,0,0
Chiyotairyu,M5e,M12w,M16e,17,19,34,41,2,7,19.9053,1,1.5961
Kagayaki,M13e,M13e,M16e,33,35,35,41,6,6,41.0091,0,0
Takanosho,J2e,M13w,M13w,44,46,36,36,10,0,87.0009,0,0
Nishikigi,M13w,M14e,J1e,34,36,37,42,6,5,37.010200000000005,0,0
Daishoho,M12w,M14w,J2e,32,34,38,44,5,6,27.615899999999996,0,0
Daishomaru,J5e,M15e,J1e,50,52,39,42,10,3,90,0,0
Azumaryu,M15w,M15w,J3e,38,40,40,46,6,6,50.030100000000004,0,0
Chiyomaru,J1e,M16e,J1e,42,44,41,42,8,1,67.0003,0,0
Tochiozan,M16w,J1e,J4e,40,42,42,48,6,6,37.001099999999994,0,0
Wakatakakage,J3w,J1w,J1w,47,49,43,43,9,0,66.0129,0,0
Tokushoryu,J3e,J2e,J3e,46,48,44,46,8,2,76.0129,0,0
Yago,J4e,J2w,J4e,48,50,45,48,8,3,70,0,0
Ikioi,J12w,J3e,J4w,65,67,46,49,12,3,92,0,0
Hidenoumi,J6w,J3w,J4w,53,55,47,49,9,2,82,0,0
Chiyoshoma,J2w,J4e,J4w,45,47,48,49,7,1,56.0003,0,0
Daiamami,J1w,J4w,J5w,43,45,49,51,6,2,44.0003,0,0
Takagenji,M17e,J5e,J8w,41,43,50,57,4,7,25.0026,0,0
Kaisei,J8e,J5w,J6e,56,58,51,52,9,1,66,0,0
Kiribayama,J4w,J6e,J6w,49,51,52,53,7,1,58,0,0
Ichiyamamoto,J9e,J6w,J7e,58,60,53,54,9,1,64,0,0
Kyokutaisei,J9w,J7e,J7w,59,61,54,55,9,1,64,0,0
Kotonowaka,J11e,J7w,J9e,62,64,55,58,9,3,59,0,0
Kyokushuho,J7e,J8e,J9e,54,56,56,58,7,2,55,0,0
Toyonoshima,M14w,J8w,J12e,36,38,57,64,1,7,6.0061,0,0
Mitoryu,J6e,J9e,J10e,52,54,58,60,6,2,46,0,0
Sokokurai,J10w,J9w,J10w,61,63,59,61,8,2,60,0,0
Tobizaru,J8w,J10e,J12w,57,59,60,65,6,5,42,0,0
Kizakiumi,J13w,J10w,J13w,67,69,61,67,8,6,57,0,0
Gagamaru,J10e,J11e,J14e,60,62,62,68,6,6,35,0,0
Kaisho,J14w,J11w,J14w,69,71,63,69,8,6,60,0,0
