Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Beats
Hoshoryu,5,10,-10,5,,0,192,1,Y1e,Wakatakakage;Wakamotoharu;Gonoyama;Tobizaru;Takanosho
Onosato,13,2,22,13,,1,191,0.994791666666667,O1e,Wakatakakage;Kirishima;Gonoyama;Tobizaru;Takanosho;Chiyoshoma;Ichiyamamoto;Abi;Ura;Takerufuji;Daieisho;Kotozakura;Takayasu
Kotozakura,8,7,2,8,,2,190,0.989583333333333,O1w,Gonoyama;Wakatakakage;Chiyoshoma;Tobizaru;Kirishima;Oho;Daieisho;Takerufuji
Daieisho,9,6,6,9,,3,189,0.984375,S1e,Chiyoshoma;Wakatakakage;Wakamotoharu;Abi;Takanosho;Ura;Oho;Ichiyamamoto;Aonishiki
Oho,6,9,-6,6,,4,188,0.979166666666667,S1w,Tobizaru;Abi;Ura;Kinbozan;Onosato;Ichiyamamoto
Kirishima,8,7,2,8,,5,187,0.973958333333333,K1e,Tobizaru;Chiyoshoma;Daieisho;Wakamotoharu;Takayasu;Ichiyamamoto;Kinbozan;Tokihayate
Abi,6,9,-6,6,,6,186,0.96875,K1w,Hoshoryu;Tobizaru;Kotozakura;Kirishima;Churanoumi;Takanosho
Wakatakakage,9,6,6,9,,7,185,0.963541666666667,,Kirishima;Oho;Abi;Chiyoshoma;Gonoyama;Tobizaru;Takanosho;Ura;Hiradoumi
Wakamotoharu,9,6,6,9,,8,184,0.958333333333333,,Kotozakura;Oho;Onosato;Gonoyama;Chiyoshoma;Abi;Takanosho;Atamifuji;Takerufuji
Gonoyama,7,8,-2,7,,9,183,0.953125,,Daieisho;Oho;Kirishima;Abi;Kinbozan;Takarafuji;Takanosho
Chiyoshoma,6,9,-6,6,,10,182,0.947916666666667,,Oho;Abi;Hoshoryu;Kinbozan;Gonoyama;Takanosho
Tobizaru,6,9,-6,6,,11,181,0.942708333333333,,Takayasu;Gonoyama;Wakamotoharu;Chiyoshoma;Ichiyamamoto;Shodai
Takanosho,3,12,-18,3,,12,180,0.9375,,Oho;Kotozakura;Kirishima
Takayasu,12,3,18,12,,13,179,0.932291666666667,,Takanosho;Ura;Ichiyamamoto;Gonoyama;Daieisho;Wakatakakage;Hoshoryu;Kotozakura;Onosato;Oho;Wakamotoharu;Abi
Ichiyamamoto,7,8,-2,7,,14,178,0.927083333333333,,Takanosho;Kinbozan;Hiradoumi;Shodai;Hoshoryu;Kotozakura;Takarafuji
Ura,7,8,-2,7,,15,177,0.921875,,Ichiyamamoto;Takanosho;Hiradoumi;Hoshoryu;Atamifuji;Abi;Tobizaru
Kinbozan,6,9,-6,6,,16,176,0.916666666666667,,Shodai;Tamawashi;Atamifuji;Hakuoho;Endo;Shonannoumi
Hiradoumi,9,6,6,9,,17,175,0.911458333333333,,Kinbozan;Takerufuji;Atamifuji;Endo;Takanosho;Nishikigi;Hakuoho;Chiyoshoma;Kotozakura
Takerufuji,9,6,6,9,,18,174,0.90625,,Shodai;Kinbozan;Ura;Ichiyamamoto;Endo;Oshoma;Nishikigi;Shonannoumi;Churanoumi
Shodai,6,9,-6,6,,19,173,0.901041666666667,,Hiradoumi;Atamifuji;Ura;Midorifuji;Kotoshoho;Nishikigi
Tamawashi,10,5,10,10,,20,172,0.895833333333333,,Oshoma;Hakuoho;Takerufuji;Hiradoumi;Ura;Shodai;Nishikigi;Midorifuji;Kirishima;Shishi
Atamifuji,6,9,-6,6,,21,171,0.890625,,Tamawashi;Oshoma;Nishikigi;Shonannoumi;Meisei;Shishi
Oshoma,9,6,6,9,,22,170,0.885416666666667,,Shodai;Nishikigi;Kinbozan;Shonannoumi;Hiradoumi;Takarafuji;Midorifuji;Onokatsu;Wakatakakage
Hakuoho,9,6,6,9,,23,169,0.880208333333333,,Oshoma;Nishikigi;Shonannoumi;Endo;Onokatsu;Shodai;Shishi;Tobizaru;Asakoryu
Endo,7,8,-2,7,,24,168,0.875,,Nishikigi;Atamifuji;Shonannoumi;Oshoma;Tamawashi;Shodai;Asakoryu
Nishikigi,3,12,-18,3,,25,167,0.869791666666667,,Shonannoumi;Kinbozan;Shirokuma
Shonannoumi,4,11,-14,4,,26,166,0.864583333333333,,Takarafuji;Sadanoumi;Shirokuma;Asakoryu
Midorifuji,9,6,6,9,,27,165,0.859375,,Shonannoumi;Nishikigi;Endo;Ryuden;Tokihayate;Shirokuma;Asakoryu;Sadanoumi;Mitakeumi
Meisei,9,6,6,9,,28,164,0.854166666666667,,Shonannoumi;Nishikigi;Midorifuji;Hakuoho;Shishi;Ryuden;Shirokuma;Mitakeumi;Chiyoshoma
Takarafuji,3,12,-18,3,,29,163,0.848958333333333,,Meisei;Ryuden;Nishikigi
Onokatsu,10,5,10,10,,30,162,0.84375,,Nishikifuji;Midorifuji;Meisei;Takarafuji;Shonannoumi;Atamifuji;Mitakeumi;Sadanoumi;Ryuden;Shirokuma
