terunofuji,Y,takanosho,kirishima,,,,,,,,,,,
Kotozakura,O1e,Takanosho,Gonoyama,Oho,Hiradoumi,wakatakakage,,,,,,,,
Hoshoryu,O1w,Kirishima,Tobizaru,Wakatakakage,takanosho,gonoyama,oho,daieisho,chiyoshoma,kinbozan,onosato,takerufuji,kotozakura,
Onosato,O2w,Kirishima,Takanosho,Shodai,atamifuji,Wakatakakage,Daieisho,gonoyama,chiyoshoma,kotozakura,ura,,,
Wakamotoharu,S1e,Atamifuji,tobizaru,ura,hiradoumi,chiyoshoma,endo,,,,,,,
Daieisho,S1w,gonoyama,atamifuji,shodai,wakatakage,Wakamotoharu,takanosho,takerufuji,ura,chiyoshoma,hiradoumi,abi,,
Abi,K1e,kotozakura,atamifuji,onosato,wakamotoharu,tobizaru,kinbozan,ichiyamamoto,,,,,,
Wakatakakage,K1w,terunofuji,atamifuji,abi,takanosho,tobizaru,gonoyama,shodai,,,,,,
Takanosho,9,wakamotoharu,abi,takayasu,atamifuji,tobizaru,gonoyama,,,,,,,
kirishima,10,kotozakura,takanosho,daieisho,wakatakakage,wakamotoharu,abi,chiyoshoma,tamawashi,oho,takayasu,takerufuji,,
tobizaru,11,onosato,kotozakura,terunofuji,shodai,atamifuji,meisei,ura,,,,,,
atamifuji,12,hoshoryu,kotozakura,takayasu,mitakeumi,churanoumi,,,,,,,,
gonoyama,13,wakamotoharu,ura,hiradoumi,terunofuji,atamifuji,takarafuji,tobizaru,midorifuji,,,,,
oho,14,abi,wakatakakage,wakamotoharu,daieisho,onosato,tobizaru,atamifuji,tamawashi,onokatsu,ura,takanosho,kinbozan,
shodai,15,wakamotoharu,kotozakura,hoshoryu,gonoyama,mitakeumi,abi,,,,,,,
ura,16,shodai,takayasu,ichiyamamoto,endo,kotozakura,mitakeumi,wakatakakage,,,,,,
hiradoumi,17,shodai,ura,endo,mitakeumi,hoshoryu,nishikigi,onokatsu,,,,,,
chiyoshoma,18,hiradoumi,ura,ichiyamamoto,endo,takayasu,mitakeumi,roga,churanoumi,shonannoumi,,,,
takayasu,19,endo,hiradoumi,roga,mitakeumi,oshoma,takarafuji,wakamotoharu,abi,,,,,
ichiyamamoto,20,takayasu,mitakeumi,takarafuji,hiradoumi,churanoumi,oshoma,wakamotoharu,wakatakakage,,,,,
endo,21,takarafuji,roga,ichiyamamoto,tamawashi,atamifuji,shodai,,,,,,,
mitakeumi,22,endo,churanoumi,,,,,,,,,,,
roga,23,,,,,,,,,,,,,
takarafuji,24,mitakeumi,tamawashi,meisei,chiyoshoma,tamashoho,,,,,,,,
churanoumi,25,takarafuji,meisei,midorifuji,kotoshoho,,,,,,,,,
oshoma,26,takarafuji,mitakeumi,churanoumi,midorifuji,hakuoho,shonannoumi,tokihayate,tamashoho,,,,,
tamawashi,27,oshoma,churanoumi,midorifuji,takerufuji,meisei,nishikigi,hakuoho,onokatsu,nishikifuji,,,,
meisei,28,oshoma,nishikigi,tamashoho,kagayaki,mitakeumi,onokatsu,,,,,,,
midorifuji,29,meisei,mitakeumi,kagayaki,tokihayate,endo,kotoshoho,shodai,,,,,,
takerufuji,30,nishikigi,meisei,onokatsu,kotoshoho,churanoumi,oshoma,kitanowaka,ichiyamamoto,kotozakura,abi,,,
nishikigi,31,midorifuji,shonannoumi,kotoshoho,onokatsu,kitanowaka,tokihayate,kagayaki,oshoma,,,,,
onokatsu,32,shonannoumi,midorifuji,hakuoho,kitanowaka,kagayaki,nishikifuji,ichiyamamoto,,,,,,
shonannoumi,33,hakuoho,midorifuji,meisei,tokihayate,takarafuji,kotoshoho,endo,ichiyamamoto,,,,,
kotoshoho,34,Onokatsu,tamashoho,mitakeumi,takarafuji,tamawashi,,,,,,,,
hokutofuji,35,,,,,,,,,,,,,
kinbozan,36,kotoshoho,shonannoumi,kitanowaka,tamashoho,nishikifuji,kagayaki,tokihayate,tamawashi,takerufuji,onosato,kotozakura,kirishima,
hakuoho,37,kitanowaka,tokihayate,kotoshoho,tamashoho,nishikigi,meisei,tobizaru,hiradoumi,endo,takayasu,,,
kitanowaka,38,kagayaki,nishikifuji,tamashoho,tokihayate,,,,,,,,,
tamashoho,39,kagayaki,shonannoumi,midorifuji,churanoumi,nishikigi,mitakeumi,,,,,,,
kagayaki,40,hakuoho,kotoshoho,shiden,churanoumi,takarafuji,takanosho,,,,,,,
nishikifuji,41,tamashoho,kagayaki,kotoshoho,shonannoumi,nishikigi,oshoma,meisei,churanoumi,shodai,,,,
tokihayate,42,nishikifuji,tamashoho,kagayaki,kotoshoho,onokatsu,churanoumi,takarafuji,,,,,,
sadanoumi,43,kayo,tsurugisho,tokihayate,shirokuma,shimanoumi,hidenoumi,tochitaikai,tohakuryu,fujiseiun,,,,
kayo,44,shiden,tsurugisho,shirokuma,nishikifuji,shmianoumi,daiseizan,hidenoumi,,,,,,
shiden,45,sadanoumi,tsurugisho,tochitaikai,kiryuko,hakuyozan,tomokaze,,,,,,,
asakoryu,46,shiden,kayo,sadanoumi,tsurugisho,ryuden,shimanoumi,oshoumi,tochitaikai,kotoeiho,,,,
ryuden,47,tsurugisho,shishi,kayo,shiden,sadanoumi,hidenoumi,tomokaze,fujiseiun,mitoryu,wakaikari,aonishiki,,
tsurugisho,48,hidenoumi,shimanoumi,,,,,,,,,,,
shirokuma,49,ryuden,tsurigisho,asakoryu,shimanoumi,shiden,shimazuumi,fujiseiun,hidenoumi,mitoryu,,,,
shishi,50,shirokuma,tsurugisho,shiden,asakoryu,shimanoumi,kayo,sadanoumi,mitoryu,oshoumi,wakaikari,aonishiki,kotoeiho,tomokaze
shimanoumi,51,daiamami,hakuyozan,daishoho,,,,,,,,,,
aonishiki,52,shimanoumi,hidenoumi,tochitaikai,fujiseiun,shiden,daiseizan,tsurugisho,kayo,sadanoumi,asakoryu,shirokuma,nabatame,
hidenoumi,53,tomokaze,daiseizan,mitoryu,oshoumi,asakoryu,daishoho,hatsuyama,,,,,,
