rank,kk_amount,mk_amount,kk_pct
y,657,2,0.997
o,1065,117,0.901
s,561,307,0.6463
k,374,489,0.4334
m1,277,500,0.3565
m2,214,563,0.2754
m3,183,579,0.2402
m4,246,534,0.3154
m5,306,464,0.3974
m6,383,398,0.4904
m7,427,354,0.5467
m8,422,350,0.5466
m9,431,345,0.5554
m10,464,310,0.5995
m11,473,302,0.6103
m12,432,327,0.5692
m13,392,298,0.5681
m14,305,254,0.5456
m15,227,216,0.5124
m16,129,153,0.4574
m17,42,57,0.4242
m18,12,13,0.48
j1,478,295,0.6184
j2,442,328,0.574
j3,441,337,0.5668
j4,398,364,0.5223
j5,401,372,0.5188
j6,393,383,0.5064
j7,342,426,0.4453
j8,406,364,0.5273
j9,423,355,0.5437
j10,419,361,0.5372
j11,412,361,0.533
j12,430,341,0.5577
j13,443,323,0.5783
j14,186,168,0.5254
