rank,kk_amount,mk_amount,kk_pct
y,657,252,0.7228
o,1065,274,0.7954
s,561,354,0.6131
k,374,512,0.4221
m1,277,528,0.3441
m2,214,593,0.2652
m3,183,622,0.2273
m4,246,560,0.3052
m5,306,500,0.3797
m6,383,423,0.4752
m7,427,378,0.5304
m8,422,384,0.5236
m9,431,374,0.5354
m10,464,340,0.5771
m11,473,331,0.5883
m12,432,362,0.5441
m13,392,340,0.5355
m14,305,292,0.5109
m15,227,232,0.4946
m16,129,164,0.4403
m17,42,61,0.4078
m18,12,14,0.4615
j1,478,321,0.5982
j2,442,357,0.5532
j3,441,360,0.5506
j4,398,401,0.4981
j5,401,397,0.5025
j6,393,405,0.4925
j7,342,464,0.4243
j8,406,397,0.5056
j9,423,381,0.5261
j10,419,387,0.5199
j11,412,392,0.5124
j12,430,371,0.5368
j13,443,345,0.5622
j14,186,176,0.5138
