rank,kk_amount,mk_amount,kk_pct
y,657,134,0.8306
o,1065,246,0.8124
s,561,344,0.6199
k,374,506,0.425
m1,277,523,0.3463
m2,214,582,0.2688
m3,183,611,0.2305
m4,246,550,0.309
m5,306,487,0.3859
m6,383,415,0.4799
m7,427,366,0.5385
m8,422,368,0.5342
m9,431,363,0.5428
m10,464,330,0.5844
m11,473,320,0.5965
m12,432,351,0.5517
m13,392,327,0.5452
m14,305,273,0.5277
m15,227,226,0.5011
m16,129,158,0.4495
m17,42,59,0.4158
m18,12,13,0.48
j1,478,313,0.6043
j2,442,347,0.5602
j3,441,352,0.5561
j4,398,386,0.5077
j5,401,389,0.5076
j6,393,394,0.4994
j7,342,448,0.4329
j8,406,384,0.5139
j9,423,370,0.5334
j10,419,375,0.5277
j11,412,380,0.5202
j12,430,358,0.5457
j13,443,338,0.5672
j14,186,173,0.5181
