Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Beats
Terunofuji,0,15,-30,0,,0,70,1.0,Y1e,
Takakeisho,12,3,18,12,,1,69,0.9857142857142858,O1e,Daieisho;Kotonowaka;Ichinojo;Ura;Midorifuji;Wakamotoharu;Kiribayama;Hokutofuji;Nishikifuji;Hoshoryu;Oho;Wakatakakage
Shodai,6,9,-6,6,,2,68,0.9714285714285714,O1w,Takayasu;Kotonowaka;Midorifuji;Ura;Wakatakakage;Mitakeumi
Wakatakakage,8,7,2,8,,3,67,0.9571428571428572,S1e,Kiribayama;Meisei;Ura;Ichinojo;Daieisho;Sadanoumi;Nishikifuji;Hokutofuji
Hoshoryu,11,4,14,11,,4,66,0.9428571428571428,S1w,Kotonowaka;Tamawashi;Ichinojo;Midorifuji;Daieisho;Wakamotoharu;Tobizaru;Sadanoumi;Shodai;Mitakeumi;Kiribayama
Tamawashi,6,9,-6,6,,5,65,0.9285714285714286,K1e,Daieisho;Ura;Wakamotoharu;Shodai;Takarafuji;Tochinoshin
Kiribayama,8,7,2,8,,6,64,0.9142857142857143,K1w,Ura;Midorifuji;Tobizaru;Tamawashi;Mitakeumi;Kotonowaka;Ryuden;Shodai
Tobizaru,7,8,-2,7,,7,63,0.9,K2e,Shodai;Meisei;Tamawashi;Wakatakakage;Takakeisho;Aoiyama;Ura
Daieisho,7,8,-2,7,,8,62,0.8857142857142857,K2w,Ura;Mitakeumi;Kiribayama;Shodai;Meisei;Midorifuji;Onosho
Takayasu,12,3,18,12,,9,61,0.8714285714285714,,Wakatakakage;Takakeisho;Hoshoryu;Tamawashi;Mitakeumi;Daieisho;Kiribayama;Tobizaru;Nishikifuji;Ryuden;Oho;Kagayaki
Kotonowaka,9,6,6,9,,10,60,0.8571428571428571,,Wakatakakage;Wakamotoharu;Tobizaru;Tamawashi;Mitakeumi;Daieisho;Ichinojo;Midorifuji;Ryuden
Meisei,9,6,6,9,,11,59,0.8428571428571429,,Takakeisho;Shodai;Ichinojo;Tamawashi;Takayasu;Hokutofuji;Kiribayama;Kotonowaka;Hiradoumi
Ichinojo,4,11,-14,4,,12,58,0.8285714285714286,,Tamawashi;Shodai;Atamifuji;Terutsuyoshi
Ura,4,11,-14,4,,13,57,0.8142857142857143,,Ichinojo;Nishikigi;Takarafuji;Terutsuyoshi
Midorifuji,8,7,2,8,,14,56,0.8,,Sadanoumi;Hokutofuji;Nishikigi;Wakatakakage;Mitakeumi;Tobizaru;Endo;Kotoshoho
Wakamotoharu,10,5,10,10,,15,55,0.7857142857142857,,Midorifuji;Ura;Sadanoumi;Meisei;Mitakeumi;Myogiryu;Tobizaru;Daieisho;Kotoeko;Oho
Sadanoumi,8,7,2,8,,16,54,0.7714285714285715,,Hokutofuji;Nishikifuji;Nishikigi;Shodai;Aoiyama;Tobizaru;Tochinoshin;Ichiyamamoto
Hokutofuji,7,8,-2,7,,17,53,0.7571428571428571,,Wakamotoharu;Nishikigi;Endo;Ryuden;Myogiryu;Ichinojo;Shodai
Nishikifuji,9,6,6,9,,18,52,0.7428571428571429,,Nishikigi;Ryuden;Endo;Hokutofuji;Tochinoshin;Takanosho;Abi;Ichinojo;Mitakeumi
Nishikigi,8,7,2,8,,19,51,0.7285714285714285,,Endo;Ryuden;Takarafuji;Tochinoshin;Tamawashi;Kotoshoho;Ichiyamamoto;Kotoeko
Ryuden,9,6,6,9,,20,50,0.7142857142857143,,Endo;Myogiryu;Takarafuji;Sadanoumi;Tochinoshin;Takanosho;Abi;Azumaryu;Daieisho
Endo,6,9,-6,6,,21,49,0.7,,Takarafuji;Sadanoumi;Terutsuyoshi;Atamifuji;Ura;Tamawashi
Myogiryu,8,7,2,8,,22,48,0.6857142857142857,,Takarafuji;Takanosho;Endo;Nishikifuji;Nishikigi;Chiyoshoma;Kotoeko;Azumaryu
Takarafuji,3,12,-18,3,,23,47,0.6714285714285714,,Okinoumi;Ichinojo;Kagayaki
Tochinoshin,6,9,-6,6,,24,46,0.6571428571428571,,Myogiryu;Takarafuji;Onosho;Terutsuyoshi;Atamifuji;Ichiyamamoto
Takanosho,7,8,-2,7,,25,45,0.6428571428571429,,Tochinoshin;Takarafuji;Chiyoshoma;Terutsuyoshi;Ura;Ichinojo;Azumaryu
Abi,14,1,26,14,,26,44,0.6285714285714286,,Aoiyama;Chiyoshoma;Tochinoshin;Takanosho;Kotoshoho;Takarafuji;Endo;Oho;Wakatakakage;Kagayaki;Hoshoryu;Takayasu;Takayasu;Takakeisho
Aoiyama,7,8,-2,7,,27,43,0.6142857142857143,,Takanosho;Kotoshoho;Chiyotairyu;Takarafuji;Terutsuyoshi;Atamifuji;Okinoumi
Chiyoshoma,7,8,-2,7,,28,42,0.6,,Aoiyama;Tochinoshin;Kotoeko;Takarafuji;Atamifuji;Terutsuyoshi;Endo
Onosho,9,6,6,9,,29,41,0.5857142857142857,,Chiyoshoma;Aoiyama;Abi;Chiyotairyu;Terutsuyoshi;Ichiyamamoto;Hiradoumi;Kotoshoho;Kiribayama
Kotoshoho,7,8,-2,7,,30,40,0.5714285714285714,,Chiyotairyu;Okinoumi;Chiyoshoma;Takanosho;Ichiyamamoto;Azumaryu;Myogiryu
Kotoeko,7,8,-2,7,,31,39,0.5571428571428572,,Okinoumi;Onosho;Terutsuyoshi;Aoiyama;Atamifuji;Ichiyamamoto;Meisei
Chiyotairyu,2,13,-22,2,,32,38,0.5428571428571428,,Kotoeko;Atamifuji
Okinoumi,8,7,2,8,,33,37,0.5285714285714286,,Chiyotairyu;Terutsuyoshi;Azumaryu;Yutakayama;Takanosho;Tochinoshin;Onosho;Chiyoshoma
Oho,10,5,10,10,,34,36,0.5142857142857142,,Azumaryu;Kagayaki;Kotoshoho;Kotoeko;Terutsuyoshi;Hidenoumi;Atamifuji;Onosho;Aoiyama;Hoshoryu
Ichiyamamoto,7,8,-2,7,,35,35,0.5,,Oho;Atamifuji;Chiyotairyu;Hiradoumi;Terutsuyoshi;Okinoumi;Myogiryu
