Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Asashoryu,15,0,30,128,158.79139999999998,0,70,3.79,Y1e,Y1e,Shimotori;Miyabiyama;Kyokushuzan;Dejima;Kyokutenho;Tochinonada;Kotomitsuki;Tamanoshima;Aminishiki;Tosanoumi;Kakizoe;Wakanosato;Kaio;Musoyama;Chiyotaikai
Chiyotaikai,13,2,22,104,124.89349999999999,1,69,2.2896,O1e,O1e,Kakizoe;Dejima;Kyokutenho;Miyabiyama;Kyokushuzan;Shimotori;Tamanoshima;Tochinonada;Tosanoumi;Aminishiki;Wakanosato;Kotomitsuki;Asasekiryu
Kaio,13,2,22,110,134.7175,2,68,2.2896,O1w,O1w,Miyabiyama;Kakizoe;Dejima;Kyokushuzan;Tamanoshima;Kyokutenho;Wakanosato;Tosanoumi;Shimotori;Kotomitsuki;Tochinonada;Chiyotaikai;Musoyama
Tochiazuma,0,15,-30,0,0,3,67,2.2896,O2e,O2e,
Musoyama,9,6,6,65,72.70079999999999,4,66,2.2896,O2w,O2w,Kyokushuzan;Shimotori;Tochinonada;Aminishiki;Tamanoshima;Tosanoumi;Tokitsuumi;Hokutoriki;Tochisakae
Wakanosato,8,7,2,72,83.8882,5,65,1.5961,S1e,S1e,Dejima;Tamanoshima;Shimotori;Miyabiyama;Musoyama;Tokitsuumi;Iwakiyama;Asasekiryu
Kotomitsuki,7,8,-2,50,57.38980000000001,6,64,1.5961,S1w,S1w,Tochinonada;Musoyama;Kyokushuzan;Dejima;Aminishiki;Tosanoumi;Iwakiyama
Kakizoe,6,9,-6,37,44.0078,7,63,1.2755,K1e,K1e,Kotomitsuki;Tosanoumi;Kyokushuzan;Wakanosato;Aminishiki;Jumonji
Shimotori,6,9,-6,37,46.091499999999996,8,62,1.2755,K1w,K1w,Tochiazuma;Kotomitsuki;Kakizoe;Kyokushuzan;Tochinonada;Tamanoshima
Miyabiyama,8,7,2,52,65.2079,9,61,1.1274,,M1e,Tochiazuma;Kotomitsuki;Shimotori;Aminishiki;Tochinonada;Kyokutenho;Kyokushuzan;Tamanoshima
Kyokushuzan,4,11,-14,19,22.7043,10,60,1.1274,,M1w,Tochiazuma;Wakanosato;Jumonji;Aminishiki
Dejima,7,8,-2,49,59.81119999999999,11,59,1.0589,,M2e,Tosanoumi;Jumonji;Kyokutenho;Kyokushuzan;Iwakiyama;Shimotori;Tamanoshima
Kyokutenho,10,5,10,82,92.79539999999999,12,58,1.0589,,M2w,Musoyama;Kotomitsuki;Kakizoe;Wakanosato;Jumonji;Shimotori;Hokutoriki;Toki;Tochisakae;Buyuzan
Tochinonada,8,7,2,57,61.76310000000001,13,57,1.0272,,M3e,Wakanosato;Jumonji;Kakizoe;Aminishiki;Dejima;Kokkai;Takamisakari;Takanonami
Tamanoshima,6,9,-6,37,44.4003,14,56,1.0272,,M3w,Aminishiki;Iwakiyama;Kotomitsuki;Kinkaiyama;Kakizoe;Kyokushuzan
