Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Starting Rank,Beats
Tochinishiki,14,1,26,116,157.7124,0,78,3.79,Y1e,Y1e,Fujinishiki;Tamanoumi;Shionishiki;Taiho;Iwakaze;Kitanonada;Wakanoumi;Tsurugamine;Kashiwado;Annenyama;Kitabayama;Wakahaguro;Kotogahama;Fusanishiki
Asashio,4,11,-14,30,36.218399999999995,1,77,3.79,Y1w,Y1w,Taiho;Shionishiki;Ohikari;Dewanishiki
Wakanohana,15,0,30,136,186.03789999999998,2,76,3.79,Y2e,Y2e,Naruyama;Kashiwado;Ohikari;Iwakaze;Shionishiki;Tochihikari;Tsurugamine;Dewanishiki;Kitanonada;Kitabayama;Fujinishiki;Annenyama;Fusanishiki;Wakahaguro;Tochinishiki
Kotogahama,8,7,2,71,95.17339999999999,3,75,2.2896,O1e,O1e,Shionishiki;Ohikari;Tsurugamine;Fujinishiki;Iwakaze;Kitabayama;Tochihikari;Kashiwado
Wakahaguro,8,7,2,56,76.4184,4,74,2.2896,O1w,O1w,Tamanoumi;Dewanishiki;Naruyama;Iwakaze;Tsurugamine;Asashio;Kotogahama;Wakanoumi
Kitabayama,10,5,10,78,97.43309999999998,5,73,1.5961,S1e,S1e,Fusanishiki;Iwakaze;Dewanishiki;Tamanoumi;Naruyama;Taiho;Ohikari;Kashiwado;Kaizan;Fujinishiki
Annenyama,6,9,-6,48,61.87029999999999,6,72,1.5961,S1w,S1w,Dewanishiki;Wakanoumi;Naruyama;Iwakaze;Fusanishiki;Kotogahama
Kashiwado,9,6,6,73,105.73100000000001,7,71,1.5961,S2w,S2w,Ohikari;Kitanonada;Fujinishiki;Asashio;Tochihikari;Dewanishiki;Tsurugamine;Annenyama;Wakahaguro
Wakanoumi,6,9,-6,49,69.788,8,70,1.2755,K1e,K1e,Kashiwado;Asashio;Tochihikari;Fujinishiki;Dewanishiki;Kitabayama
Fujinishiki,7,8,-2,55,75.14439999999999,9,69,1.2755,K1w,K1w,Ohikari;Wakahaguro;Annenyama;Taiho;Shionishiki;Dewanishiki;Tochihikari
Tochihikari,8,7,2,58,75.1246,10,68,1.2755,K2e,K2e,Asashio;Shionishiki;Taiho;Tamanoumi;Wakahaguro;Kitabayama;Iwakaze;Annenyama
Kitanonada,9,6,6,70,91.48049999999999,11,67,1.1274,,M1e,Wakanoumi;Kotogahama;Fujinishiki;Taiho;Asashio;Shinobuyama;Hanada;Tochihikari;Tamahibiki
Dewanishiki,5,10,-10,38,51.4396,12,66,1.1274,,M1w,Tsurugamine;Kitanonada;Shionishiki;Kotogahama;Tamanoumi
Tsurugamine,8,7,2,58,76.5771,13,65,1.0589,,M2e,Annenyama;Asashio;Tochihikari;Wakanoumi;Fujinishiki;Narutoumi;Oginohana;Wakanokuni
Iwakaze,7,8,-2,54,71.8264,14,64,1.0589,,M2w,Kaizan;Wakanoumi;Kashiwado;Kitanonada;Dewanishiki;Shinobuyama;Oginohana
