Rank,Opponent Rank,Wins,Losses,Total Matches,Win/Loss Ratio,WWOF,Win%
y,o,1458,693,2151,2.1039,,0.6778
y,s,1289,500,1789,2.578,,0.7205
y,k,1476,377,1853,3.9151,,0.7965
y,m1,1339,327,1666,4.0948,,0.8037
y,m2,1344,253,1597,5.3123,,0.8416
y,m3,1264,232,1496,5.4483,,0.8449
y,m4,927,172,1099,5.3895,,0.8435
y,m5,514,96,610,5.3542,,0.8426
y,m6,263,61,324,4.3115,,0.8117
y,m7,143,22,165,6.5,,0.8667
y,m8,76,13,89,5.8462,,0.8539
y,m9,55,16,71,3.4375,,0.7746
y,m10,32,9,41,3.5556,,0.7805
y,m11,12,4,16,3.0,,0.75
y,m12,10,3,13,3.3333,,0.7692
y,m13,6,2,8,3.0,,0.75
y,m14,7,1,8,7.0,,0.875
y,ALL,10215,2781,12996,4.0465,4.0465,0.786
o,y,693,1458,2151,0.4753,,0.3222
o,s,1611,1198,2809,1.3447,,0.5735
o,k,1895,1005,2900,1.8856,,0.6534
o,m1,1837,794,2631,2.3136,,0.6982
o,m2,1925,670,2595,2.8731,,0.7418
o,m3,1762,602,2364,2.9269,,0.7453
o,m4,1266,468,1734,2.7051,,0.7301
o,m5,769,249,1018,3.0884,,0.7554
o,m6,435,125,560,3.48,,0.7768
o,m7,234,81,315,2.8889,,0.7429
o,m8,115,38,153,3.0263,,0.7516
o,m9,78,30,108,2.6,,0.7222
o,m10,44,20,64,2.2,,0.6875
o,m11,34,11,45,3.0909,,0.7556
o,m12,22,7,29,3.1429,,0.7586
o,m13,20,6,26,3.3333,,0.7692
o,m14,13,5,18,2.6,,0.7222
o,m15,7,1,8,7.0,,0.875
o,m17,3,3,6,1.0,,0.5
o,ALL,12763,6771,19534,2.1877,2.3996,0.6534
s,y,500,1289,1789,0.3879,,0.2795
s,o,1198,1611,2809,0.7436,,0.4265
s,k,1208,880,2088,1.3727,,0.5785
s,m1,1138,706,1844,1.6119,,0.6171
s,m2,1100,649,1749,1.6949,,0.6289
s,m3,1066,561,1627,1.9002,,0.6552
s,m4,823,442,1265,1.862,,0.6506
s,m5,552,276,828,2.0,,0.6667
s,m6,322,186,508,1.7312,,0.6339
s,m7,200,100,300,2.0,,0.6667
s,m8,142,58,200,2.4483,,0.71
s,m9,84,63,147,1.3333,,0.5714
s,m10,56,34,90,1.6471,,0.6222
s,m11,54,14,68,3.8571,,0.7941
s,m12,20,10,30,2.0,,0.6667
s,m13,19,11,30,1.7273,,0.6333
s,m14,11,11,22,1.0,,0.5
s,m15,9,1,10,9.0,,0.9
s,m16,5,2,7,2.5,,0.7143
s,m17,2,2,4,1.0,,0.5
s,ALL,8509,6906,15415,1.3954,1.7313,0.552
k,y,377,1476,1853,0.2554,,0.2035
k,o,1005,1895,2900,0.5303,,0.3466
k,s,880,1208,2088,0.7285,,0.4215
k,m1,932,768,1700,1.2135,,0.5482
k,m2,835,717,1552,1.1646,,0.538
k,m3,824,576,1400,1.4306,,0.5886
k,m4,628,514,1142,1.2218,,0.5499
k,m5,435,348,783,1.25,,0.5556
k,m6,277,219,496,1.2648,,0.5585
k,m7,208,147,355,1.415,,0.5859
k,m8,136,89,225,1.5281,,0.6044
k,m9,93,59,152,1.5763,,0.6118
k,m10,82,35,117,2.3429,,0.7009
k,m11,51,28,79,1.8214,,0.6456
k,m12,33,19,52,1.7368,,0.6346
k,m13,26,25,51,1.04,,0.5098
k,m14,13,12,25,1.0833,,0.52
k,m15,7,4,11,1.75,,0.6364
k,m17,1,4,5,0.25,,0.2
k,ALL,6843,8143,14986,0.941,1.2976,0.4566
m1,y,327,1339,1666,0.2442,,0.1963
m1,o,793,1838,2631,0.4314,,0.3014
m1,s,706,1138,1844,0.6204,,0.3829
m1,k,768,932,1700,0.824,,0.4518
m1,m2,580,535,1115,1.0841,,0.5202
m1,m3,529,417,946,1.2686,,0.5592
m1,m4,464,374,838,1.2406,,0.5537
m1,m5,434,330,764,1.3152,,0.5681
m1,m6,331,265,596,1.2491,,0.5554
m1,m7,266,212,478,1.2547,,0.5565
m1,m8,232,166,398,1.3976,,0.5829
m1,m9,164,133,297,1.2331,,0.5522
m1,m10,153,72,225,2.125,,0.68
m1,m11,88,62,150,1.4194,,0.5867
m1,m12,85,41,126,2.0732,,0.6746
m1,m13,45,30,75,1.5,,0.6
m1,m14,33,18,51,1.8333,,0.6471
m1,m15,8,10,18,0.8,,0.4444
m1,m16,10,9,19,1.1111,,0.5263
m1,m17,4,3,7,1.3333,,0.5714
m1,m18,2,2,4,1.0,,0.5
m1,ALL,6022,7926,13948,0.8613,1.298,0.4317
m2,y,253,1344,1597,0.1882,,0.1584
m2,o,670,1925,2595,0.3481,,0.2582
m2,s,649,1100,1749,0.59,,0.3711
m2,k,717,835,1552,0.8587,,0.462
m2,m1,535,580,1115,0.9224,,0.4798
m2,m3,471,473,944,0.9958,,0.4989
m2,m4,452,384,836,1.1771,,0.5407
m2,m5,389,363,752,1.0716,,0.5173
m2,m6,338,287,625,1.1777,,0.5408
m2,m7,272,259,531,1.0502,,0.5122
m2,m8,249,223,472,1.1166,,0.5275
m2,m9,207,183,390,1.1311,,0.5308
m2,m10,161,115,276,1.4,,0.5833
m2,m11,111,92,203,1.2065,,0.5468
m2,m12,100,79,179,1.2658,,0.5587
m2,m13,57,50,107,1.14,,0.5327
m2,m14,37,27,64,1.3704,,0.5781
m2,m15,28,11,39,2.5455,,0.7179
m2,m16,13,10,23,1.3,,0.5652
m2,m18,2,2,4,1.0,,0.5
m2,ALL,5711,8342,14053,0.7678,1.1373,0.4064
m3,y,232,1264,1496,0.1835,,0.1551
m3,o,602,1762,2364,0.3417,,0.2547
m3,s,561,1066,1627,0.5263,,0.3448
m3,k,576,824,1400,0.699,,0.4114
m3,m1,417,529,946,0.7883,,0.4408
m3,m2,473,471,944,1.0042,,0.5011
m3,m4,461,415,876,1.1108,,0.5263
m3,m5,416,394,810,1.0558,,0.5136
m3,m6,333,343,676,0.9708,,0.4926
m3,m7,312,271,583,1.1513,,0.5352
