Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Beats
Hoshoryu,5,10,-10,5,,1,69,1.0,Y1e,Wakatakakage;Wakamotoharu;Gonoyama;Tobizaru;Takanosho
Onosato,13,2,22,13,,2,68,0.9855072463768116,O1e,Wakatakakage;Kirishima;Gonoyama;Tobizaru;Takanosho;Chiyoshoma;Ichiyamamoto;Abi;Ura;Takerufuji;Daieisho;Kotozakura;Takayasu
Kotozakura,8,7,2,8,,3,67,0.9710144927536232,O1w,Gonoyama;Wakatakakage;Chiyoshoma;Tobizaru;Kirishima;Oho;Daieisho;Takerufuji
Daieisho,9,6,6,9,,4,66,0.9565217391304348,S1e,Chiyoshoma;Wakatakakage;Wakamotoharu;Abi;Takanosho;Ura;Oho;Ichiyamamoto;Aonishiki
Oho,6,9,-6,6,,5,65,0.9420289855072463,S1w,Tobizaru;Abi;Ura;Kinbozan;Onosato;Ichiyamamoto
Kirishima,8,7,2,8,,6,64,0.927536231884058,K1e,Tobizaru;Chiyoshoma;Daieisho;Wakamotoharu;Takayasu;Ichiyamamoto;Kinbozan;Tokihayate
Abi,6,9,-6,6,,7,63,0.9130434782608695,K1w,Hoshoryu;Tobizaru;Kotozakura;Kirishima;Churanoumi;Takanosho
Wakatakakage,9,6,6,9,,8,62,0.8985507246376812,,Kirishima;Oho;Abi;Chiyoshoma;Gonoyama;Tobizaru;Takanosho;Ura;Hiradoumi
Wakamotoharu,9,6,6,9,,9,61,0.8840579710144928,,Kotozakura;Oho;Onosato;Gonoyama;Chiyoshoma;Abi;Takanosho;Atamifuji;Takerufuji
Gonoyama,7,8,-2,7,,10,60,0.8695652173913043,,Daieisho;Oho;Kirishima;Abi;Kinbozan;Takarafuji;Takanosho
Chiyoshoma,6,9,-6,6,,11,59,0.855072463768116,,Oho;Abi;Hoshoryu;Kinbozan;Gonoyama;Takanosho
Tobizaru,6,9,-6,6,,12,58,0.8405797101449275,,Takayasu;Gonoyama;Wakamotoharu;Chiyoshoma;Ichiyamamoto;Shodai
Takanosho,3,12,-18,3,,13,57,0.8260869565217391,,Oho;Kotozakura;Kirishima
Takayasu,12,3,18,12,,14,56,0.8115942028985508,,Takanosho;Ura;Ichiyamamoto;Gonoyama;Daieisho;Wakatakakage;Hoshoryu;Kotozakura;Onosato;Oho;Wakamotoharu;Abi
Ichiyamamoto,7,8,-2,7,,15,55,0.7971014492753623,,Takanosho;Kinbozan;Hiradoumi;Shodai;Hoshoryu;Kotozakura;Takarafuji
Ura,7,8,-2,7,,16,54,0.782608695652174,,Ichiyamamoto;Takanosho;Hiradoumi;Hoshoryu;Atamifuji;Abi;Tobizaru
Kinbozan,6,9,-6,6,,17,53,0.7681159420289855,,Shodai;Tamawashi;Atamifuji;Hakuoho;Endo;Shonannoumi
Hiradoumi,9,6,6,9,,18,52,0.7536231884057971,,Kinbozan;Takerufuji;Atamifuji;Endo;Takanosho;Nishikigi;Hakuoho;Chiyoshoma;Kotozakura
Takerufuji,9,6,6,9,,19,51,0.7391304347826086,,Shodai;Kinbozan;Ura;Ichiyamamoto;Endo;Oshoma;Nishikigi;Shonannoumi;Churanoumi
Shodai,6,9,-6,6,,20,50,0.7246376811594203,,Hiradoumi;Atamifuji;Ura;Midorifuji;Kotoshoho;Nishikigi
Tamawashi,10,5,10,10,,21,49,0.7101449275362319,,Oshoma;Hakuoho;Takerufuji;Hiradoumi;Ura;Shodai;Nishikigi;Midorifuji;Kirishima;Shishi
Atamifuji,6,9,-6,6,,22,48,0.6956521739130435,,Tamawashi;Oshoma;Nishikigi;Shonannoumi;Meisei;Shishi
Oshoma,9,6,6,9,,23,47,0.6811594202898551,,Shodai;Nishikigi;Kinbozan;Shonannoumi;Hiradoumi;Takarafuji;Midorifuji;Onokatsu;Wakatakakage
Hakuoho,9,6,6,9,,24,46,0.6666666666666666,,Oshoma;Nishikigi;Shonannoumi;Endo;Onokatsu;Shodai;Shishi;Tobizaru;Asakoryu
Endo,7,8,-2,7,,25,45,0.6521739130434783,,Nishikigi;Atamifuji;Shonannoumi;Oshoma;Tamawashi;Shodai;Asakoryu
Nishikigi,3,12,-18,3,,26,44,0.6376811594202898,,Shonannoumi;Kinbozan;Shirokuma
Shonannoumi,4,11,-14,4,,27,43,0.6231884057971014,,Takarafuji;Sadanoumi;Shirokuma;Asakoryu
Midorifuji,9,6,6,9,,28,42,0.6086956521739131,,Shonannoumi;Nishikigi;Endo;Ryuden;Tokihayate;Shirokuma;Asakoryu;Sadanoumi;Mitakeumi
Meisei,9,6,6,9,,29,41,0.5942028985507246,,Shonannoumi;Nishikigi;Midorifuji;Hakuoho;Shishi;Ryuden;Shirokuma;Mitakeumi;Chiyoshoma
Takarafuji,3,12,-18,3,,30,40,0.5797101449275363,,Meisei;Ryuden;Nishikigi
Onokatsu,10,5,10,10,,31,39,0.5652173913043478,,Nishikifuji;Midorifuji;Meisei;Takarafuji;Shonannoumi;Atamifuji;Mitakeumi;Sadanoumi;Ryuden;Shirokuma
Nishikifuji,0,15,-30,0,,32,38,0.5507246376811594,,
Shishi,9,6,6,9,,33,37,0.5362318840579711,,Takarafuji;Churanoumi;Midorifuji;Onokatsu;Kotoshoho;Asakoryu;Mitakeumi;Wakamotoharu;Endo
Ryuden,6,9,-6,6,,34,36,0.5217391304347826,,Shishi;Nishikifuji;Aonishiki;Mitakeumi;Atamifuji;Oshoma
Churanoumi,11,4,14,11,,35,35,0.5072463768115942,,Aonishiki;Sadanoumi;Ryuden;Asakoryu;Takarafuji;Kotoshoho;Mitakeumi;Hakuoho;Tamawashi;Takayasu;Daieisho
Aonishiki,11,4,14,11,,36,34,0.4927536231884058,,Sadanoumi;Mitakeumi;Shishi;Tokihayate;Shirokuma;Nabatame;Kotoshoho;Hakuoho;Meisei;Takerufuji;Oho
Sadanoumi,8,7,2,8,,37,33,0.4782608695652174,,Kotoshoho;Shirokuma;Mitakeumi;Shiden;Takarafuji;Ryuden;Endo;Atamifuji
Asakoryu,6,9,-6,6,,38,32,0.463768115942029,,Sadanoumi;Aonishiki;Kotoshoho;Tochitaikai;Onokatsu;Takarafuji
Kotoshoho,8,7,2,8,,39,31,0.4492753623188406,,Mitakeumi;Shirokuma;Tokihayate;Onokatsu;Meisei;Ryuden;Takarafuji;Endo
Mitakeumi,6,9,-6,6,,40,30,0.43478260869565216,,Tokihayate;Shirokuma;Kayo;Asakoryu;Takarafuji;Nishikigi
Shirokuma,5,10,-10,5,,41,29,0.42028985507246375,,Kagayaki;Ryuden;Takarafuji;Asakoryu;Shodai
Tokihayate,10,5,10,10,,42,28,0.4057971014492754,,Shirokuma;Tamashoho;Asakoryu;Sadanoumi;Churanoumi;Fujiseiun;Ryuden;Shonannoumi;Meisei;Tamawashi
Tamashoho,8,7,2,8,,43,27,0.391304347826087,,Kagayaki;Roga;Shiden;Fujiseiun;Mitoryu;Hidenoumi;Oshoumi;Nabatame
Kagayaki,4,11,-14,4,,44,26,0.37681159420289856,,Shiden;Oshoumi;Fujiseiun;Hokutofuji
Kayo,9,6,6,9,,45,25,0.36231884057971014,,Kagayaki;Tamashoho;Shiden;Mitoryu;Kotoeiho;Nabatame;Oshoumi;Kusano;Hakuyozan
Kitanowaka,0,15,-30,0,,46,24,0.34782608695652173,,
Roga,11,4,14,11,,47,23,0.3333333333333333,,Kayo;Kagayaki;Tochitaikai;Fujiseiun;Kotoshoho;Hidenoumi;Mitoryu;Kotoeiho;Shimanoumi;Hitoshi;Wakaikari
Tochitaikai,9,6,6,9,,48,22,0.3188405797101449,,Shiden;Oshoumi;Kayo;Tamashoho;Kagayaki;Kotoeiho;Daiseizan;Wakanosho;Shimanoumi
Shiden,4,11,-14,4,,49,21,0.30434782608695654,,Mitoryu;Roga;Fujiseiun;Hitoshi
Oshoumi,4,11,-14,4,,50,20,0.2898550724637681,,Nabatame;Shiden;Mitoryu;Tohakuryu
Nabatame,3,12,-18,3,,51,19,0.2753623188405797,,Shiden;Kagayaki;Mitoryu
Fujiseiun,9,6,6,9,,52,18,0.2608695652173913,,Mitoryu;Hidenoumi;Nabatame;Oshoumi;Kayo;Kotoeiho;Tochitaikai;Hatsuyama;Shimanoumi
Mitoryu,4,11,-14,4,,53,17,0.2463768115942029,,Tomokaze;Tochitaikai;Kagayaki;Hatsuyama
Hidenoumi,10,5,10,10,,54,16,0.2318840579710145,,Tomokaze;Mitoryu;Nabatame;Kotoeiho;Hokutofuji;Kayo;Tochitaikai;Kagayaki;Wakaikari;Oshoumi
Tomokaze,7,8,-2,7,,55,15,0.21739130434782608,,Hokutofuji;Roga;Tamashoho;Shiden;Kagayaki;Otsuji;Nabatame
Kotoeiho,7,8,-2,7,,56,14,0.2028985507246377,,Hokutofuji;Hakuyozan;Tomokaze;Tohakuryu;Daiseizan;Shimanoumi;Tamashoho
Hokutofuji,3,12,-18,3,,57,13,0.18840579710144928,,Hakuyozan;Tohakuryu;Shiden
Hakuyozan,9,6,6,9,,58,12,0.17391304347826086,,Wakaikari;Tohakuryu;Tomokaze;Daiseizan;Hatsuyama;Wakanosho;Hidenoumi;Kazekeno;Tamashoho
Wakaikari,8,7,2,8,,59,11,0.15942028985507245,,Hokutofuji;Kotoeiho;Tomokaze;Hatsuyama;Tsurugisho;Kazekeno;Hitoshi;Tamashoho
Tohakuryu,7,8,-2,7,,60,10,0.14492753623188406,,Wakaikari;Tomokaze;Kazekeno;Tochitaikai;Hitoshi;Otsuji;Mitoryu
