Name,Wins,Losses,Record,Neustadl,Weighted Neustadl,Rank,Inverse Rank,Weight,Sanyaku,Beats,,,,,,,,,,,,,
Hoshoryu,5,10,-10,5,,0,70,1,Y1e,Wakatakakage,Wakamotoharu,Gonoyama,Tobizaru,Takanosho,,,,,,,,,
Onosato,13,2,22,13,,1,69,0.985714285714286,O1e,Wakatakakage,Kirishima,Gonoyama,Tobizaru,Takanosho,Chiyoshoma,Ichiyamamoto,Abi,Ura,Takerufuji,Daieisho,Kotozakura,Takayasu,
Kotozakura,8,7,2,8,,2,68,0.971428571428571,O1w,Gonoyama,Wakatakakage,Chiyoshoma,Tobizaru,Kirishima,Oho,Daieisho,Takerufuji,,,,,,
Daieisho,9,6,6,9,,3,67,0.957142857142857,S1e,Chiyoshoma,Wakatakakage,Wakamotoharu,Abi,Takanosho,Ura,Oho,Ichiyamamoto,Aonishiki,,,,,
Oho,6,9,-6,6,,4,66,0.942857142857143,S1w,Tobizaru,Abi,Ura,Kinbozan,Onosato,Ichiyamamoto,,,,,,,,
Kirishima,8,7,2,8,,5,65,0.928571428571429,K1e,Tobizaru,Chiyoshoma,Daieisho,Wakamotoharu,Takayasu,Ichiyamamoto,Kinbozan,Tokihayate,,,,,,
Abi,6,9,-6,6,,6,64,0.914285714285714,K1w,Hoshoryu,Tobizaru,Kotozakura,Kirishima,Churanoumi,Takanosho,,,,,,,,
Wakatakakage,9,6,6,9,,7,63,0.9,,Kirishima,Oho,Abi,Chiyoshoma,Gonoyama,Tobizaru,Takanosho,Ura,Hiradoumi,,,,,
Wakamotoharu,9,6,6,9,,8,62,0.885714285714286,,Kotozakura,Oho,Onosato,Gonoyama,Chiyoshoma,Abi,Takanosho,Atamifuji,Takerufuji,,,,,
Gonoyama,7,8,-2,7,,9,61,0.871428571428571,,Daieisho,Oho,Kirishima,Abi,Kinbozan,Takarafuji,Takanosho,,,,,,,
Chiyoshoma,10,5,10,6,,10,60,0.857142857142857,,Oho,Abi,Hoshoryu,Kinbozan,Gonoyama,Takanosho,,,,,,,,
Tobizaru,6,9,-6,6,,11,59,0.842857142857143,,Takayasu,Gonoyama,Wakamotoharu,Chiyoshoma,Ichiyamamoto,Shodai,,,,,,,,
Takanosho,3,12,-18,3,,12,58,0.828571428571429,,Oho,Kotozakura,Kirishima,,,,,,,,,,,
