Date,Winner,Loser
195803,Asashio,Kotogahama
195905,Wakanohana,Tochinishiki
196109,Kashiwado,Myobudani
196109,Taiho,Kashiwado
196109,Taiho,Myobudani
196203,Sadanoyama,Taiho
196209,Taiho,Sadanoyama
196307,Kitabayama,Sadanoyama
196509,Kashiwado,Myobudani
196509,Kashiwado,Sadanoyama
196609,Taiho,Kashiwado
196907,Kiyokuni,Fujinokawa
197001,Kitanofuji,Tamanoshima
197007,Kitanofuji,Maenoyama
197011,Tamanoumi,Taiho
197101,Taiho,Tamanoumi
197203,Hasegawa,Kaiketsu
197307,Kotozakura,Kitanofuji
197407,Wajima,Kitanoumi
197411,Kaiketsu,Kitanoumi
197503,Takanohana,Kitanoumi
197509,Takanohana,Kitanoumi
197603,Wajima,Asahikuni
197605,Kitanoumi,Wajima
197803,Kitanoumi,Wakamisugi
197805,Kitanoumi,Wakamisugi
197907,Wajima,Mienoumi
198101,Chiyonofuji,Kitanoumi
198111,Chiyonofuji,Asashio
198205,Chiyonofuji,Asashio
198301,Kotokaze,Asashio
198607,Chiyonofuji,Kitao
198701,Chiyonofuji,Futahaguro
198803,Onokuni,Hokutoumi
198901,Hokutoumi,Asahifuji
198905,Hokutoumi,Asahifuji
198907,Chiyonofuji,Hokutoumi
199003,Konishiki,Hokutoumi
199003,Kirishima,Konishiki
199003,Hokutoumi,Kirishima
199003,Hokutoumi,Konishiki
199105,Asahifuji,Konishiki
199307,Akebono,Wakanohana
199307,Akebono,Takanohana
199311,Akebono,Musashimaru
199403,Takanonami,Takatoriki
199403,Akebono,Takanonami
199403,Akebono,Takatoriki
199501,Takanohana,Musashimaru
199511,Wakanohana,Takanohana
199601,Takanonami,Takanohana
199611,Musashimaru,Wakanohana
199611,Takanonami,Kaio
199611,Musashimaru,Akebono
199611,Musashimaru,Takanonami
199703,Takanohana,Kaio
199703,Akebono,Musashimaru
199703,Takanohana,Akebono
199705,Akebono,Takanohana
199709,Takanohana,Musashimaru
199711,Takanonami,Takanohana
199901,Chiyotaikai,Wakanohana
199907,Dejima,Akebono
200101,Takanohana,Musashimaru
200105,Takanohana,Musashimaru
200201,Tochiazuma,Chiyotaikai
200405,Asashoryu,Hokutoriki
200509,Asashoryu,Kotooshu
200603,Asashoryu,Hakuho
200605,Hakuho,Miyabiyama
200703,Hakuho,Asashoryu
200811,Hakuho,Ama
200901,Asashoryu,Hakuho
200905,Harumafuji,Hakuho
200909,Asashoryu,Hakuho
201011,Hakuho,Toyonoshima
201203,Hakuho,Kakuryu
201205,Kyokutenho,Tochiozan
201401,Hakuho,Kakuryu
201509,Kakuryu,Terunofuji
201703,Kisenosato,Terunofuji
201709,Harumafuji,Goeido
201909,Mitakeumi,Takakeisho
202011,Takakeisho,Terunofuji
202105,Terunofuji,Takakeisho
202203,Wakatakakage,Takayasu
202211,Abi,Takayasu
202211,Abi,Takakeisho
202303,Kiribayama,Daieisho
202307,Hoshoryu,Hokutofuji
202309,Takakeisho,Atamifuji
202401,Terunofuji,Kotonowaka
202407,Terunofuji,Takanosho
202501,Hoshoryu,Kinbozan
202501,Hoshoryu,Oho
202503,Onosato,Takayasu
