Rank vs,y,o,s,k,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,j1,j2,j3,j4,j5,j6,j7,j8,j9,j10,j11,j12,j13,j14
Y,-,2.1067821067821066,2.5748502994011977,3.9177718832891246,4.085365853658536,5.2952755905511815,5.456896551724138,5.401162790697675,5.364583333333333,4.311475409836065,6.545454545454546,5.846153846153846,3.4375,3.5555555555555554,3.0,3.3333333333333335,3.0,7.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.05
Total Matches,0,2153,1791,1854,1668,1599,1498,1101,611,324,166,89,71,41,16,13,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13011
O,0.47465753424657536,-,1.3433333333333333,1.8866799204771372,2.3144654088050314,2.8733233979135617,2.9335548172757475,2.713675213675214,3.0923694779116464,3.48,2.9012345679012346,3.026315789473684,2.6333333333333333,2.2,3.090909090909091,3.142857142857143,3.3333333333333335,2.6,7.0,N/A,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.19
Total Matches,2153,0,2812,2904,2635,2599,2368,1738,1019,560,316,153,109,64,45,29,26,18,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19562
S,0.3883720930232558,0.7444168734491315,-,1.3691959229898074,1.613861386138614,1.7010785824345147,1.896980461811723,1.8687782805429864,2.0,1.7365591397849462,2.02,2.4482758620689653,1.3492063492063493,1.6470588235294117,3.857142857142857,2.0,1.7272727272727273,1.0,9.0,2.5,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.40
Total Matches,1791,2812,0,2092,1848,1753,1631,1268,828,509,302,200,148,90,68,30,30,22,10,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15443
K,0.25524712254570076,0.530031612223393,0.7303556658395368,-,1.2145643693107933,1.1627260083449236,1.4290657439446366,1.227626459143969,1.2492836676217765,1.273972602739726,1.4149659863945578,1.5280898876404494,1.5932203389830508,2.342857142857143,1.8214285714285714,1.736842105263158,1.04,1.0833333333333333,1.75,N/A,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.94
Total Matches,1854,2904,2092,0,1703,1555,1404,1145,785,498,355,225,153,117,79,52,51,25,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15014
M1,0.24477611940298508,0.4312873438348723,0.6196319018404908,0.8233404710920771,-,1.079925650557621,1.2727272727272727,1.2426666666666666,1.3242424242424242,1.244360902255639,1.2547169811320755,1.3975903614457832,1.2330827067669172,2.125,1.4193548387096775,2.073170731707317,1.5,1.8333333333333333,0.8,1.1111111111111112,1.3333333333333333,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.86
Total Matches,1668,2635,1848,1703,0,1119,950,841,767,597,478,398,297,225,150,126,75,51,18,19,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13976
M2,0.18884758364312268,0.3480290456431535,0.5878623188405797,0.8600478468899522,0.9259896729776248,-,0.9915966386554622,1.1735751295336787,1.0686813186813187,1.1730103806228374,1.05019305019305,1.116591928251121,1.1311475409836065,1.4,1.2065217391304348,1.2658227848101267,1.14,1.3703703703703705,2.5454545454545454,1.3,N/A,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.77
Total Matches,1599,2599,1753,1555,1119,0,948,839,753,628,531,472,390,276,203,179,107,64,39,23,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14081
M3,0.18325434439178515,0.3408833522083805,0.5271535580524345,0.6997578692493946,0.7857142857142857,1.0084745762711864,-,1.1079136690647482,1.058227848101266,0.9708454810495627,1.151291512915129,0.9576923076923077,1.0141509433962264,1.1271676300578035,1.0272108843537415,1.2264150943396226,1.108433734939759,1.169811320754717,1.55,2.272727272727273,1.7777777777777777,3.0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.73
Total Matches,1498,2368,1631,1404,950,948,0,879,813,676,583,509,427,368,298,236,175,115,51,36,25,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13995
M4,0.18514531754574812,0.36850393700787404,0.5351089588377724,0.8145800316957211,0.8047210300429185,0.8520971302428256,0.9025974025974026,-,1.0615384615384615,1.139240506329114,1.1328320802005012,1.1253731343283582,0.9748427672955975,1.084870848708487,1.008888888888889,1.186335403726708,1.569767441860465,1.2876712328767124,1.5128205128205128,0.76,1.8,1.75,1.4,2.0,1.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.83
Total Matches,1101,1738,1268,1145,841,839,879,0,1072,1014,851,712,628,565,452,352,221,167,98,44,28,11,12,3,2,0,0,1,0,0,0,0,0,0,0,0,14044
M5,0.18640776699029127,0.3233766233766234,0.5,0.8004587155963303,0.7551487414187643,0.9357326478149101,0.9449760765550239,0.9420289855072463,-,1.0619307832422586,1.0278810408921932,1.0740740740740742,1.0109409190371992,1.0404040404040404,0.9826086956521739,1.1236363636363635,1.4394904458598725,1.1428571428571428,1.1917808219178083,1.1914893617021276,1.5333333333333334,0.2857142857142857,0.75,1.6666666666666667,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.89
Total Matches,611,1019,828,785,767,753,813,1072,0,1132,1091,1008,919,808,684,584,383,255,160,103,38,18,14,8,3,4,0,0,0,0,0,0,0,0,0,0,13860
M6,0.23193916349809887,0.28735632183908044,0.5758513931888545,0.7849462365591398,0.8036253776435045,0.8525073746312685,1.03003003003003,0.8777777777777778,0.9416809605488851,-,1.0413223140495869,1.0723327305605788,1.1183970856102003,1.156,1.0185567010309278,1.0728643216080402,1.0285714285714285,1.298342541436464,1.2758620689655173,1.1129032258064515,1.4137931034482758,1.4285714285714286,1.2857142857142858,2.0,3.0,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.96
Total Matches,324,560,509,498,597,628,676,1014,1132,0,1235,1146,1163,1078,979,825,639,416,264,131,70,34,16,12,4,3,0,0,0,0,0,0,0,0,0,0,13953
M7,0.1527777777777778,0.3446808510638298,0.49504950495049505,0.7067307692307693,0.7969924812030075,0.9522058823529411,0.8685897435897436,0.8827433628318584,0.972875226039783,0.9603174603174603,-,0.9438377535101404,1.1550802139037433,1.024390243902439,1.0369685767097967,1.1022494887525562,1.1813842482100239,1.0874125874125875,1.4539877300613497,1.2268041237113403,1.1153846153846154,1.2272727272727273,0.6666666666666666,0.8,0.5,0.5,0.3333333333333333,0.0,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,0.98
Total Matches,166,316,302,355,478,531,583,851,1091,1235,0,1246,1209,1162,1102,1028,914,597,400,216,110,49,10,9,12,6,4,1,0,0,0,0,1,0,0,0,13984
M8,0.17105263157894737,0.33043478260869563,0.4084507042253521,0.6544117647058824,0.7155172413793104,0.8955823293172691,1.0441767068273093,0.8885941644562334,0.9310344827586207,0.9325463743676222,1.059504132231405,-,1.0584415584415585,1.008445945945946,1.1950757575757576,1.0851063829787233,1.1198347107438016,1.0495867768595042,0.992619926199262,1.213740458015267,1.5208333333333333,1.7272727272727273,0.7,1.0,1.0,0.6666666666666666,0.0,N/A,N/A,0.0,N/A,N/A,1.0,N/A,N/A,N/A,1.00
Total Matches,89,153,200,225,398,472,509,712,1008,1146,1246,0,1268,1189,1159,1078,1026,744,540,290,121,60,34,14,8,10,1,0,0,1,0,0,2,0,0,0,13703
M9,0.2909090909090909,0.379746835443038,0.7411764705882353,0.6276595744680851,0.8109756097560976,0.8840579710144928,0.986046511627907,1.0258064516129033,0.9891774891774892,0.8941368078175895,0.8657407407407407,0.9447852760736196,-,0.998468606431853,1.1358234295415959,0.9766666666666667,1.0308880308880308,1.1806615776081424,1.3093525179856116,1.3869047619047619,1.0344827586206897,1.125,1.2758620689655173,0.6153846153846154,0.8235294117647058,1.0,0.6,N/A,0.0,N/A,N/A,0.0,0.3333333333333333,N/A,N/A,N/A,1.00
Total Matches,71,109,148,153,297,390,427,628,919,1163,1209,1268,0,1305,1258,1186,1052,857,642,401,177,85,66,42,31,14,8,0,1,0,0,1,4,0,0,0,13912
M10,0.28125,0.45454545454545453,0.6071428571428571,0.4268292682926829,0.47058823529411764,0.7142857142857143,0.8871794871794871,0.9217687074829932,0.9611650485436893,0.8650519031141869,0.9761904761904762,0.9916247906197655,1.0015337423312884,-,1.055306427503737,1.102787456445993,1.0417457305502846,1.0178571428571428,1.213166144200627,1.403061224489796,1.3296703296703296,1.1041666666666667,0.9178082191780822,0.9591836734693877,0.8275862068965517,1.0833333333333333,0.6666666666666666,0.0,N/A,0.0,N/A,0.0,N/A,N/A,N/A,N/A,1.00
Total Matches,41,64,90,117,225,276,368,565,808,1078,1162,1189,1305,0,1375,1207,1076,904,706,471,212,101,140,96,53,25,15,1,0,1,0,2,0,0,0,0,13673
M11,0.3333333333333333,0.3235294117647059,0.25925925925925924,0.5490196078431373,0.7045454545454546,0.8288288288288288,0.9735099337748344,0.9911894273127754,1.0176991150442478,0.9817813765182186,0.964349376114082,0.8367670364500792,0.8804185351270553,0.9475920679886686,-,1.0341614906832297,1.121996303142329,1.1489841986455982,1.0049751243781095,1.2478991596638656,1.0258620689655173,1.2115384615384615,0.9124087591240876,1.0434782608695652,0.8507462686567164,0.6875,1.4545454545454546,2.5,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,0.98
Total Matches,16,45,68,79,150,203,298,452,684,979,1102,1159,1258,1375,0,1310,1148,952,806,535,235,115,262,188,124,54,27,7,1,1,0,0,0,0,0,0,13633
M12,0.3,0.3181818181818182,0.5,0.5757575757575758,0.4823529411764706,0.79,0.8153846153846154,0.8429319371727748,0.889967637540453,0.9320843091334895,0.9072356215213359,0.9215686274509803,1.023890784982935,0.9067930489731437,0.9669669669669669,-,0.9983766233766234,0.8786764705882353,1.1506172839506172,1.0722021660649819,1.1833333333333333,1.4,0.9941520467836257,0.8141025641025641,1.0206185567010309,0.9591836734693877,1.0,1.0,4.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.96
Total Matches,13,29,30,52,126,179,236,352,584,825,1028,1078,1186,1207,1310,0,1231,1022,871,574,262,120,341,283,196,96,40,8,5,0,0,0,0,0,0,0,13284
M13,0.3333333333333333,0.3,0.5789473684210527,0.9615384615384616,0.6666666666666666,0.8771929824561403,0.9021739130434783,0.6370370370370371,0.6946902654867256,0.9722222222222222,0.8464646464646465,0.8929889298892989,0.9700374531835206,0.9599271402550091,0.8912685337726524,1.0016260162601627,-,1.0317164179104477,1.0889423076923077,1.1519434628975265,1.0158730158730158,1.21875,1.065,0.943502824858757,1.1603773584905661,0.6933333333333334,0.8285714285714286,0.36363636363636365,1.0,0.5,N/A,1.0,N/A,N/A,N/A,N/A,0.96
Total Matches,8,26,30,51,75,107,175,221,383,639,914,1026,1052,1076,1148,1231,0,1089,869,609,254,142,413,344,229,127,64,15,2,3,0,2,0,0,0,0,12324
M14,0.14285714285714285,0.38461538461538464,1.0,0.9230769230769231,0.5454545454545454,0.7297297297297297,0.8548387096774194,0.776595744680851,0.875,0.7702127659574468,0.9196141479099679,0.952755905511811,0.8469827586206896,0.9824561403508771,0.8703339882121808,1.1380753138075315,0.969258589511754,-,1.0739910313901346,1.34375,0.8896551724137931,1.2372881355932204,0.9425837320574163,1.0602409638554218,0.984251968503937,0.9545454545454546,0.84,0.4444444444444444,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.98
Total Matches,8,18,22,25,51,64,115,167,255,416,597,744,857,904,952,1022,1089,0,925,600,274,132,406,342,252,129,46,13,8,0,0,0,0,0,0,0,10433
M15,0.0,0.14285714285714285,0.1111111111111111,0.5714285714285714,1.25,0.39285714285714285,0.6451612903225806,0.6610169491525424,0.8390804597701149,0.7837837837837838,0.6877637130801688,1.0074349442379182,0.7637362637362637,0.8242894056847545,0.995049504950495,0.869098712446352,0.9183222958057395,0.9311064718162839,-,1.0,1.0827586206896551,1.0285714285714285,1.0594594594594595,0.9247311827956989,0.8947368421052632,0.9642857142857143,1.7222222222222223,1.0,0.6666666666666666,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.91
Total Matches,3,8,10,11,18,39,51,98,160,264,400,540,642,706,806,871,869,925,0,650,302,142,381,358,216,110,49,18,5,0,0,0,0,0,0,0,8652
M16,N/A,0.0,0.4,0.0,0.9,0.7692307692307693,0.44,1.3157894736842106,0.8392857142857143,0.8985507246376812,0.8151260504201681,0.8238993710691824,0.721030042918455,0.7127272727272728,0.8013468013468014,0.9326599326599326,0.8680981595092024,0.7441860465116279,1.0,-,1.0481927710843373,1.2535211267605635,1.1020408163265305,0.868421052631579,1.0,1.0444444444444445,0.5909090909090909,1.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88
Total Matches,0,2,7,4,19,23,36,44,103,131,216,290,401,471,535,574,609,600,650,0,340,160,309,213,148,92,35,14,0,0,0,0,0,0,0,0,6026
M17,N/A,1.0,1.0,2.0,0.75,0.0,0.5625,0.5555555555555556,0.6521739130434783,0.7073170731707317,0.896551724137931,0.6575342465753424,0.9666666666666667,0.7520661157024794,0.9747899159663865,0.8450704225352113,0.984375,1.124031007751938,0.9235668789808917,0.9540229885057471,-,0.8888888888888888,1.0116279069767442,0.8793103448275862,0.673469387755102,0.7111111111111111,0.6923076923076923,0.5,1.0,1.0,N/A,N/A,N/A,N/A,N/A,N/A,0.90
Total Matches,0,6,4,6,7,3,25,28,38,70,110,121,177,212,235,262,254,274,302,340,0,170,173,109,82,77,22,9,6,2,0,0,0,0,0,0,3124
